average_price,4046,4225,4770,small_bags,large_bags,xlarge_bags,type,year,geography,week,location_level,location_lat,location_lon
1.68,161.68,206.96,0.0,2528.08,0.0,0.0,organic,2015,Harrisburg/Scranton,1,Level 3,40.2731911,-76.8867008
2.32,87.56,4364.01,0.0,349.53,0.0,0.0,organic,2015,Hartford/Springfield,1,Level 3,41.7658043,-72.6733723
1.22,7009.77,671.88,0.0,1256.67,0.0,0.0,organic,2015,Houston,1,Level 3,29.7604267,-95.3698028
1.63,76.89,874.32,0.0,542.89,286.5,0.0,organic,2015,Indianapolis,1,Level 3,39.768403,-86.158068
1.81,803.33,47.67,6.98,523.33,0.0,0.0,organic,2015,Jacksonville,1,Level 3,30.3321838,-81.65565099999999
1.5,3730.8,2141.91,0.0,426.67,30.45,0.0,organic,2015,Las Vegas,1,Level 3,36.171563,-115.1391009
1.25,47721.51,1723.4,0.0,5050.63,0.0,0.0,organic,2015,Los Angeles,1,Level 3,34.0549076,-118.242643
1.48,12.41,824.64,0.0,478.15,80.55,0.0,organic,2015,Louisville,1,Level 3,38.2526647,-85.7584557
1.82,1438.04,53.73,0.0,796.67,0.0,0.0,organic,2015,Miami/Ft. Lauderdale,1,Level 3,26.3013917,-80.6326916
1.56,10049.66,25228.37,3672.89,17280.89,1833.54,0.0,organic,2015,Midsouth,1,Level 2,,
1.84,244.34,2700.02,76.21,838.34,107.09,0.0,organic,2015,Nashville,1,Level 3,36.1626638,-86.7816016
1.41,220.61,23.64,0.0,2360.0,0.0,0.0,organic,2015,New Orleans/Mobile,1,Level 3,29.95106579999999,-90.0715323
1.93,2357.18,12692.21,9.47,2269.38,0.0,0.0,organic,2015,New York,1,Level 3,40.7127753,-74.0059728
1.88,4476.73,22389.09,23.15,21379.79,11.7,0.0,organic,2015,Northeast,1,Level 2,43.2994285,-74.21793260000001
1.83,6.81,630.24,0.0,6664.25,0.0,0.0,organic,2015,Northern New England,1,Level 3,43.9653889,-70.8226541
1.8,1200.41,53.55,0.0,803.33,0.0,0.0,organic,2015,Orlando,1,Level 3,28.5383832,-81.3789269
1.72,384.3,1597.97,11.42,1794.91,0.0,0.0,organic,2015,Philadelphia,1,Level 3,39.9525839,-75.1652215
1.12,14569.66,1868.59,0.0,830.0,28.6,0.0,organic,2015,Phoenix/Tucson,1,Level 3,32.2539787,-110.9741769
1.81,754.0,124.33,0.0,447.01,14.02,0.0,organic,2015,Pittsburgh,1,Level 3,40.44062479999999,-79.9958864
1.69,3874.31,14945.34,32.45,13793.22,1545.05,0.0,organic,2015,Plains,1,Level 2,,
1.28,17580.96,11685.08,3.15,613.33,3045.3,0.0,organic,2015,Portland,1,Level 3,45.515232,-122.6783853
2.01,58.22,1493.9,772.21,993.94,78.73,0.0,organic,2015,Raleigh/Greensboro,1,Level 3,36.0755917,-79.7590191
1.54,238.48,1678.83,372.55,1570.28,352.02,0.0,organic,2015,Richmond/Norfolk,1,Level 3,37.5407246,-77.4360481
1.39,56.21,2760.82,0.0,1139.42,457.84,0.0,organic,2015,Roanoke,1,Level 3,37.2709704,-79.9414266
1.33,3727.52,4327.52,0.0,1158.45,0.0,0.0,organic,2015,Sacramento,1,Level 3,38.5815719,-121.4943996
1.23,17522.46,735.22,2.87,828.81,0.0,0.0,organic,2015,San Diego,1,Level 3,32.715738,-117.1610838
1.18,13175.57,9028.34,0.0,426.67,0.0,0.0,organic,2015,San Francisco,1,Level 3,37.7749295,-122.4194155
1.49,6821.76,20720.77,1.23,452.73,5799.42,0.0,organic,2015,Seattle,1,Level 3,47.6061389,-122.3328481
1.86,355.79,754.78,439.19,1768.67,33.33,0.0,organic,2015,South Carolina,1,Level 3,33.836081,-81.1637245
1.35,24139.72,8586.46,0.0,20622.28,146.45,0.0,organic,2015,South Central,1,Level 2,33.9891116,-118.2914872
1.75,9307.34,3844.81,615.28,13061.1,537.36,0.0,organic,2015,Southeast,1,Level 2,,
1.3,723.29,4221.15,0.0,223.33,614.93,0.0,organic,2015,Spokane,1,Level 3,47.6579711,-117.4235319
1.8,1552.48,1521.26,0.0,523.33,0.0,0.0,organic,2015,St. Louis,1,Level 3,38.6270025,-90.1994042
1.72,0.0,102.71,0.0,490.68,0.0,0.0,organic,2015,Syracuse,1,Level 3,43.0481221,-76.14742439999999
1.7,748.62,30.19,0.0,1106.67,0.0,0.0,organic,2015,Tampa,1,Level 3,27.9516896,-82.45875269999999
1.46,233286.13,216611.2,4370.99,115068.71,43573.12,0.0,organic,2015,Total U.S.,1,Level 1,37.09024,-95.712891
1.4,70313.71,72942.11,24.3,10023.72,34244.46,0.0,organic,2015,West,1,Level 2,,
1.64,1561.3,2958.17,0.0,1663.34,0.0,0.0,organic,2015,West Tex/New Mexico,1,Level 3,31.75355119999999,-106.4917179
1.77,39.0,305.12,0.0,838.44,0.0,0.0,organic,2015,Albany,2,Level 3,42.6525793,-73.7562317
1.84,1613.69,1207.72,0.0,865.0,57.41,0.0,organic,2015,Atlanta,2,Level 3,33.748752,-84.38768449999999
1.22,12258.26,7094.53,490.24,6165.85,0.0,0.0,organic,2015,Baltimore/Washington,2,Level 3,39.1775921,-76.6683889
1.44,0.0,1923.4,0.0,170.0,285.28,0.0,organic,2015,Boise,2,Level 3,43.6150186,-116.2023137
1.94,12.82,956.07,0.0,1248.93,0.0,0.0,organic,2015,Boston,2,Level 3,42.3600825,-71.0588801
1.59,0.0,143.51,0.0,1934.98,0.0,0.0,organic,2015,Buffalo/Rochester,2,Level 3,43.15657789999999,-77.6088465
1.1,123712.51,25975.27,1.47,8421.43,0.0,0.0,organic,2015,California,2,Level 2,36.778261,-119.4179324
2.29,155.92,969.82,832.7,431.78,0.0,0.0,organic,2015,Charlotte,2,Level 3,35.2270869,-80.8431267
1.79,1426.75,10900.1,0.0,588.89,0.0,0.0,organic,2015,Chicago,2,Level 3,41.8781136,-87.6297982
1.32,209.52,10352.17,0.0,310.62,441.46,0.0,organic,2015,Cincinnati/Dayton,2,Level 3,39.7589478,-84.1916069
1.68,349.17,3226.58,0.0,416.25,201.17,0.0,organic,2015,Columbus,2,Level 3,39.9611755,-82.99879419999999
1.35,7136.34,1353.62,0.0,3636.67,0.0,0.0,organic,2015,Dallas/Ft. Worth,2,Level 3,32.7078751,-96.9209135
1.28,8855.89,15070.85,24.8,1699.95,5031.28,0.0,organic,2015,Denver,2,Level 3,39.7392358,-104.990251
1.87,417.73,5637.76,0.0,329.5,541.76,0.0,organic,2015,Detroit,2,Level 3,42.331427,-83.0457538
1.87,29.06,539.72,0.0,190.0,3.08,0.0,organic,2015,Grand Rapids,2,Level 3,42.9633599,-85.6680863
1.69,4362.25,44552.46,0.0,7266.75,1880.19,0.0,organic,2015,Great Lakes,2,Level 2,45.0522366,-82.4846115
1.65,90.15,288.15,0.0,3504.58,0.0,0.0,organic,2015,Harrisburg/Scranton,2,Level 3,40.2731911,-76.8867008
2.28,79.31,3190.97,0.0,193.33,0.0,0.0,organic,2015,Hartford/Springfield,2,Level 3,41.7658043,-72.6733723
1.26,6142.35,818.65,0.0,600.0,0.0,0.0,organic,2015,Houston,2,Level 3,29.7604267,-95.3698028
1.83,95.46,921.79,0.0,357.75,35.31,0.0,organic,2015,Indianapolis,2,Level 3,39.768403,-86.158068
1.91,978.49,24.55,5.85,240.0,0.0,0.0,organic,2015,Jacksonville,2,Level 3,30.3321838,-81.65565099999999
1.54,4027.3,2083.92,0.0,33.33,0.0,0.0,organic,2015,Las Vegas,2,Level 3,36.171563,-115.1391009
1.08,52087.31,2063.44,0.0,6081.88,0.0,0.0,organic,2015,Los Angeles,2,Level 3,34.0549076,-118.242643
1.79,0.0,1219.02,0.0,173.93,42.53,0.0,organic,2015,Louisville,2,Level 3,38.2526647,-85.7584557
1.85,1091.28,49.95,0.0,473.33,0.0,0.0,organic,2015,Miami/Ft. Lauderdale,2,Level 3,26.3013917,-80.6326916
1.52,14570.74,30445.75,3170.11,16715.45,581.03,0.0,organic,2015,Midsouth,2,Level 2,,
1.92,204.75,2168.33,80.56,435.54,3.11,0.0,organic,2015,Nashville,2,Level 3,36.1626638,-86.7816016
1.44,233.3,15.81,0.0,1243.33,0.0,0.0,organic,2015,New Orleans/Mobile,2,Level 3,29.95106579999999,-90.0715323
2.03,1744.44,10901.43,60.93,2111.17,0.0,0.0,organic,2015,New York,2,Level 3,40.7127753,-74.0059728
1.86,3611.57,20043.89,65.93,26332.17,26.25,0.0,organic,2015,Northeast,2,Level 2,43.2994285,-74.21793260000001
1.88,1.13,590.02,0.0,5894.15,0.0,0.0,organic,2015,Northern New England,2,Level 3,43.9653889,-70.8226541
1.92,1290.27,53.66,0.0,266.67,0.0,0.0,organic,2015,Orlando,2,Level 3,28.5383832,-81.3789269
1.63,428.55,1809.47,4.83,4465.66,6.67,0.0,organic,2015,Philadelphia,2,Level 3,39.9525839,-75.1652215
1.36,11523.29,1632.63,0.0,876.68,2.58,0.0,organic,2015,Phoenix/Tucson,2,Level 3,32.2539787,-110.9741769
1.82,767.08,328.49,0.0,564.2,3.48,0.0,organic,2015,Pittsburgh,2,Level 3,40.44062479999999,-79.9958864
1.68,6636.08,15284.43,4.62,13774.1,1918.72,0.0,organic,2015,Plains,2,Level 2,,
1.22,18893.87,19745.21,0.0,480.0,3997.36,0.0,organic,2015,Portland,2,Level 3,45.515232,-122.6783853
1.98,31.58,1957.67,672.88,1195.75,4.84,0.0,organic,2015,Raleigh/Greensboro,2,Level 3,36.0755917,-79.7590191
1.66,143.78,2060.44,270.92,412.81,26.4,0.0,organic,2015,Richmond/Norfolk,2,Level 3,37.5407246,-77.4360481
1.47,82.94,4065.47,0.0,806.48,173.17,0.0,organic,2015,Roanoke,2,Level 3,37.2709704,-79.9414266
1.27,4243.14,3033.84,0.0,321.28,0.0,0.0,organic,2015,Sacramento,2,Level 3,38.5815719,-121.4943996
1.05,18294.44,767.68,1.44,1025.96,0.0,0.0,organic,2015,San Diego,2,Level 3,32.715738,-117.1610838
1.12,17907.49,11586.46,0.0,182.83,0.0,0.0,organic,2015,San Francisco,2,Level 3,37.7749295,-122.4194155
1.46,8691.73,33361.78,13.48,223.33,4396.69,0.0,organic,2015,Seattle,2,Level 3,47.6061389,-122.3328481
2.06,474.97,793.53,357.87,674.61,3.32,0.0,organic,2015,South Carolina,2,Level 3,33.836081,-81.1637245
1.39,27767.97,8596.61,0.0,16873.34,90.61,0.0,organic,2015,South Central,2,Level 2,33.9891116,-118.2914872
1.83,10166.46,4678.19,524.42,8164.48,157.1,0.0,organic,2015,Southeast,2,Level 2,,
1.38,1159.37,3192.62,1.83,140.0,287.05,0.0,organic,2015,Spokane,2,Level 3,47.6579711,-117.4235319
1.84,1908.7,1590.15,0.0,263.33,0.0,0.0,organic,2015,St. Louis,2,Level 3,38.6270025,-90.1994042
1.66,1.24,195.51,0.0,565.4,0.0,0.0,organic,2015,Syracuse,2,Level 3,43.0481221,-76.14742439999999
1.84,814.13,44.49,0.0,400.0,0.0,0.0,organic,2015,Tampa,2,Level 3,27.9516896,-82.45875269999999
1.42,270966.74,260971.6,3830.42,106844.49,26915.63,0.0,organic,2015,Total U.S.,2,Level 1,37.09024,-95.712891
1.39,80139.16,111395.01,63.88,9296.76,22261.74,0.0,organic,2015,West,2,Level 2,,
1.69,1822.28,2377.54,0.0,2656.66,5.25,0.0,organic,2015,West Tex/New Mexico,2,Level 3,31.75355119999999,-106.4917179
1.93,8.02,178.78,0.0,931.67,0.0,0.0,organic,2015,Albany,3,Level 3,42.6525793,-73.7562317
1.86,2138.51,989.4,0.0,1019.34,146.76,0.0,organic,2015,Atlanta,3,Level 3,33.748752,-84.38768449999999
1.41,8148.89,4725.43,659.56,461.75,61.82,0.0,organic,2015,Baltimore/Washington,3,Level 3,39.1775921,-76.6683889
1.44,8.83,2513.36,0.0,143.33,308.42,0.0,organic,2015,Boise,3,Level 3,43.6150186,-116.2023137
2.0,4.22,834.34,0.0,1370.78,0.0,0.0,organic,2015,Boston,3,Level 3,42.3600825,-71.0588801
1.64,91.85,137.49,0.0,1197.53,0.0,0.0,organic,2015,Buffalo/Rochester,3,Level 3,43.15657789999999,-77.6088465
1.24,123138.29,58616.16,0.0,13453.15,0.0,0.0,organic,2015,California,3,Level 2,36.778261,-119.4179324
2.15,346.76,744.32,766.41,840.32,0.0,0.0,organic,2015,Charlotte,3,Level 3,35.2270869,-80.8431267
1.81,1154.81,10830.61,0.0,514.45,0.0,0.0,organic,2015,Chicago,3,Level 3,41.8781136,-87.6297982
1.37,282.08,9374.23,0.0,351.87,43.22,0.0,organic,2015,Cincinnati/Dayton,3,Level 3,39.7589478,-84.1916069
1.84,279.22,2959.75,0.0,213.33,575.15,0.0,organic,2015,Columbus,3,Level 3,39.9611755,-82.99879419999999
1.28,7556.77,871.27,0.0,4206.67,0.0,0.0,organic,2015,Dallas/Ft. Worth,3,Level 3,32.7078751,-96.9209135
1.1,5475.13,32538.95,42.01,992.64,3186.18,0.0,organic,2015,Denver,3,Level 3,39.7392358,-104.990251
1.9,376.08,6430.19,0.0,446.67,403.78,0.0,organic,2015,Detroit,3,Level 3,42.331427,-83.0457538
1.88,20.71,488.77,0.0,196.67,0.0,0.0,organic,2015,Grand Rapids,3,Level 3,42.9633599,-85.6680863
1.73,3941.59,43653.15,0.0,6511.7,3540.46,0.0,organic,2015,Great Lakes,3,Level 2,45.0522366,-82.4846115
1.94,50.54,127.76,8.74,1168.46,0.0,0.0,organic,2015,Harrisburg/Scranton,3,Level 3,40.2731911,-76.8867008
2.35,39.56,2233.79,12.07,266.67,0.0,0.0,organic,2015,Hartford/Springfield,3,Level 3,41.7658043,-72.6733723
1.2,8538.96,690.68,0.0,750.0,0.0,0.0,organic,2015,Houston,3,Level 3,29.7604267,-95.3698028
1.96,45.28,925.94,0.0,105.03,7.55,0.0,organic,2015,Indianapolis,3,Level 3,39.768403,-86.158068
1.82,846.65,55.27,1.18,500.0,0.0,0.0,organic,2015,Jacksonville,3,Level 3,30.3321838,-81.65565099999999
1.63,3449.94,1769.04,0.0,813.33,0.0,0.0,organic,2015,Las Vegas,3,Level 3,36.171563,-115.1391009
1.29,33738.87,1368.91,0.0,8541.34,0.0,0.0,organic,2015,Los Angeles,3,Level 3,34.0549076,-118.242643
1.79,5.19,676.38,0.0,420.0,5.29,0.0,organic,2015,Louisville,3,Level 3,38.2526647,-85.7584557
1.87,1054.78,17.92,0.0,386.67,0.0,0.0,organic,2015,Miami/Ft. Lauderdale,3,Level 3,26.3013917,-80.6326916
1.65,11415.28,25306.56,3345.08,10971.43,1520.75,0.0,organic,2015,Midsouth,3,Level 2,,
1.81,188.44,1951.63,86.02,773.33,119.16,0.0,organic,2015,Nashville,3,Level 3,36.1626638,-86.7816016
0.98,256.53,2.64,0.0,4480.0,0.0,0.0,organic,2015,New Orleans/Mobile,3,Level 3,29.95106579999999,-90.0715323
2.08,692.88,7146.78,37.93,1327.19,0.0,0.0,organic,2015,New York,3,Level 3,40.7127753,-74.0059728
1.94,1461.14,13317.36,73.5,18457.1,1995.05,0.0,organic,2015,Northeast,3,Level 2,43.2994285,-74.21793260000001
1.88,0.0,569.28,0.0,7049.63,0.0,0.0,organic,2015,Northern New England,3,Level 3,43.9653889,-70.8226541
1.79,1237.16,31.27,0.0,883.33,0.0,0.0,organic,2015,Orlando,3,Level 3,28.5383832,-81.3789269
1.93,258.85,731.44,19.58,689.13,0.0,0.0,organic,2015,Philadelphia,3,Level 3,39.9525839,-75.1652215
1.36,10248.57,1529.97,0.0,473.33,0.0,0.0,organic,2015,Phoenix/Tucson,3,Level 3,32.2539787,-110.9741769
1.55,312.68,709.27,0.0,257.86,2168.61,0.0,organic,2015,Pittsburgh,3,Level 3,40.44062479999999,-79.9958864
1.8,6340.18,13476.2,34.56,8577.16,1241.43,0.0,organic,2015,Plains,3,Level 2,,
1.24,11894.56,30078.32,4.7,303.33,9623.53,0.0,organic,2015,Portland,3,Level 3,45.515232,-122.6783853
1.97,78.13,1775.25,628.28,925.39,89.22,0.0,organic,2015,Raleigh/Greensboro,3,Level 3,36.0755917,-79.7590191
1.62,120.23,2152.16,363.06,583.33,261.88,0.0,organic,2015,Richmond/Norfolk,3,Level 3,37.5407246,-77.4360481
1.48,109.68,4464.75,0.0,626.3,420.59,0.0,organic,2015,Roanoke,3,Level 3,37.2709704,-79.9414266
1.13,15363.18,20986.36,0.0,883.8,0.0,0.0,organic,2015,Sacramento,3,Level 3,38.5815719,-121.4943996
1.29,12300.47,580.15,0.0,1593.11,0.0,0.0,organic,2015,San Diego,3,Level 3,32.715738,-117.1610838
1.27,26336.41,14789.4,0.0,356.67,0.0,0.0,organic,2015,San Francisco,3,Level 3,37.7749295,-122.4194155
1.45,6222.73,30224.67,7.34,216.67,7944.82,0.0,organic,2015,Seattle,3,Level 3,47.6061389,-122.3328481
1.93,686.69,656.63,310.28,1346.0,24.72,0.0,organic,2015,South Carolina,3,Level 3,33.836081,-81.1637245
1.27,32913.28,6344.03,0.0,25780.0,205.46,0.0,organic,2015,South Central,3,Level 2,33.9891116,-118.2914872
1.79,10781.05,3489.26,498.66,10657.51,313.52,0.0,organic,2015,Southeast,3,Level 2,,
1.44,582.64,3132.56,0.0,146.67,501.26,0.0,organic,2015,Spokane,3,Level 3,47.6579711,-117.4235319
1.92,2410.28,213.12,0.0,300.0,0.0,0.0,organic,2015,St. Louis,3,Level 3,38.6270025,-90.1994042
1.84,0.0,151.46,0.0,476.34,0.0,0.0,organic,2015,Syracuse,3,Level 3,43.0481221,-76.14742439999999
1.73,810.58,23.95,0.0,916.67,0.0,0.0,organic,2015,Tampa,3,Level 3,27.9516896,-82.45875269999999
1.42,254319.58,311811.01,4020.85,101850.23,41118.33,0.0,organic,2015,Total U.S.,3,Level 1,37.09024,-95.712891
1.33,64328.76,147608.3,69.05,7442.17,32301.66,0.0,organic,2015,West,3,Level 2,,
1.71,1793.64,2078.72,0.0,1620.0,15.84,0.0,organic,2015,West Tex/New Mexico,3,Level 3,31.75355119999999,-106.4917179
1.89,14.87,148.72,0.0,952.3,0.0,0.0,organic,2015,Albany,4,Level 3,42.6525793,-73.7562317
1.87,1578.59,735.23,0.0,533.33,200.23,0.0,organic,2015,Atlanta,4,Level 3,33.748752,-84.38768449999999
1.41,8097.26,5023.48,528.36,1738.64,0.0,0.0,organic,2015,Baltimore/Washington,4,Level 3,39.1775921,-76.6683889
1.82,1.26,858.4,0.0,133.33,181.54,0.0,organic,2015,Boise,4,Level 3,43.6150186,-116.2023137
2.01,3.14,760.39,0.0,1184.75,0.0,0.0,organic,2015,Boston,4,Level 3,42.3600825,-71.0588801
1.6,16.46,90.53,0.0,1373.92,0.0,0.0,organic,2015,Buffalo/Rochester,4,Level 3,43.15657789999999,-77.6088465
1.3,80952.24,28216.13,0.0,12529.65,0.0,0.0,organic,2015,California,4,Level 2,36.778261,-119.4179324
2.29,347.67,956.65,920.11,469.68,0.0,0.0,organic,2015,Charlotte,4,Level 3,35.2270869,-80.8431267
1.83,711.63,9515.44,0.0,724.44,0.0,0.0,organic,2015,Chicago,4,Level 3,41.8781136,-87.6297982
1.26,220.4,8150.22,0.0,377.77,1443.43,0.0,organic,2015,Cincinnati/Dayton,4,Level 3,39.7589478,-84.1916069
1.67,350.39,3650.73,0.0,293.33,553.41,0.0,organic,2015,Columbus,4,Level 3,39.9611755,-82.99879419999999
1.34,7244.18,1390.2,0.0,2613.33,0.0,0.0,organic,2015,Dallas/Ft. Worth,4,Level 3,32.7078751,-96.9209135
1.33,4271.13,8412.17,584.78,1202.57,8031.85,0.0,organic,2015,Denver,4,Level 3,39.7392358,-104.990251
1.62,580.39,7210.53,0.0,60.0,852.82,0.0,organic,2015,Detroit,4,Level 3,42.331427,-83.0457538
2.01,59.16,572.36,0.0,80.0,0.0,0.0,organic,2015,Grand Rapids,4,Level 3,42.9633599,-85.6680863
1.63,3609.5,45327.3,0.0,6137.81,4831.91,0.0,organic,2015,Great Lakes,4,Level 2,45.0522366,-82.4846115
1.8,97.75,171.42,0.0,1902.74,0.0,0.0,organic,2015,Harrisburg/Scranton,4,Level 3,40.2731911,-76.8867008
2.21,73.54,1602.72,9.36,234.57,0.0,0.0,organic,2015,Hartford/Springfield,4,Level 3,41.7658043,-72.6733723
1.24,9698.27,893.97,0.0,806.67,0.0,0.0,organic,2015,Houston,4,Level 3,29.7604267,-95.3698028
1.78,49.75,765.47,0.0,286.67,119.35,0.0,organic,2015,Indianapolis,4,Level 3,39.768403,-86.158068
1.88,853.38,22.43,1.18,263.33,0.0,0.0,organic,2015,Jacksonville,4,Level 3,30.3321838,-81.65565099999999
1.66,2421.36,3050.67,0.0,273.33,13.32,0.0,organic,2015,Las Vegas,4,Level 3,36.171563,-115.1391009
1.23,28037.64,1355.8,0.0,8684.63,0.0,0.0,organic,2015,Los Angeles,4,Level 3,34.0549076,-118.242643
1.68,3.57,740.48,0.0,216.67,240.74,0.0,organic,2015,Louisville,4,Level 3,38.2526647,-85.7584557
1.84,1091.95,26.89,0.0,530.0,0.0,0.0,organic,2015,Miami/Ft. Lauderdale,4,Level 3,26.3013917,-80.6326916
1.63,11160.54,26029.58,3297.83,11428.78,3016.1,0.0,organic,2015,Midsouth,4,Level 2,,
1.71,192.26,2511.65,60.36,850.0,834.61,0.0,organic,2015,Nashville,4,Level 3,36.1626638,-86.7816016
1.47,204.19,10.61,0.0,1063.34,0.0,0.0,organic,2015,New Orleans/Mobile,4,Level 3,29.95106579999999,-90.0715323
2.02,1363.4,10912.03,46.42,2015.47,0.0,0.0,organic,2015,New York,4,Level 3,40.7127753,-74.0059728
1.92,2519.17,17147.02,73.05,20455.66,163.54,0.0,organic,2015,Northeast,4,Level 2,43.2994285,-74.21793260000001
1.9,0.0,593.56,0.0,6163.83,0.0,0.0,organic,2015,Northern New England,4,Level 3,43.9653889,-70.8226541
1.82,1174.98,53.81,0.0,696.67,0.0,0.0,organic,2015,Orlando,4,Level 3,28.5383832,-81.3789269
1.82,235.21,1358.88,22.7,1271.83,0.0,0.0,organic,2015,Philadelphia,4,Level 3,39.9525839,-75.1652215
1.54,7988.43,1728.24,0.0,1120.0,12.73,0.0,organic,2015,Phoenix/Tucson,4,Level 3,32.2539787,-110.9741769
1.7,598.03,91.36,0.0,559.41,192.34,0.0,organic,2015,Pittsburgh,4,Level 3,40.44062479999999,-79.9958864
1.8,3732.84,14987.92,20.69,10403.58,1062.77,0.0,organic,2015,Plains,4,Level 2,,
1.35,15946.79,10638.92,3.13,540.0,3734.07,0.0,organic,2015,Portland,4,Level 3,45.515232,-122.6783853
2.02,60.84,1948.96,627.92,620.46,101.4,0.0,organic,2015,Raleigh/Greensboro,4,Level 3,36.0755917,-79.7590191
1.57,184.69,1998.19,325.29,1002.65,349.51,0.0,organic,2015,Richmond/Norfolk,4,Level 3,37.5407246,-77.4360481
1.47,117.84,4133.72,0.0,759.28,400.93,0.0,organic,2015,Roanoke,4,Level 3,37.2709704,-79.9414266
1.44,4291.23,4741.77,0.0,674.59,0.0,0.0,organic,2015,Sacramento,4,Level 3,38.5815719,-121.4943996
1.26,9245.07,470.05,0.0,1416.96,0.0,0.0,organic,2015,San Diego,4,Level 3,32.715738,-117.1610838
1.34,17038.27,9879.87,0.0,228.67,0.0,0.0,organic,2015,San Francisco,4,Level 3,37.7749295,-122.4194155
1.7,6876.29,17363.12,7.33,453.33,4654.68,0.0,organic,2015,Seattle,4,Level 3,47.6061389,-122.3328481
2.01,776.54,621.95,450.46,970.0,46.97,0.0,organic,2015,South Carolina,4,Level 3,33.836081,-81.1637245
1.37,34211.11,8792.21,0.0,15613.33,344.94,0.0,organic,2015,South Central,4,Level 2,33.9891116,-118.2914872
1.81,9855.11,3187.02,612.99,9640.0,514.18,0.0,organic,2015,Southeast,4,Level 2,,
1.66,611.87,2325.24,3.65,226.67,146.12,0.0,organic,2015,Spokane,4,Level 3,47.6579711,-117.4235319
1.93,1526.97,2031.56,0.0,573.33,0.0,0.0,organic,2015,St. Louis,4,Level 3,38.6270025,-90.1994042
1.77,1.24,130.95,0.0,712.86,0.0,0.0,organic,2015,Syracuse,4,Level 3,43.0481221,-76.14742439999999
1.75,715.42,17.95,0.0,726.67,0.0,0.0,organic,2015,Tampa,4,Level 3,27.9516896,-82.45875269999999
1.53,207494.87,212312.02,4753.87,95964.83,35843.27,0.0,organic,2015,Total U.S.,4,Level 1,37.09024,-95.712891
1.52,61454.35,68624.86,749.3,9756.03,25909.84,0.0,organic,2015,West,4,Level 2,,
1.63,1934.46,3032.72,0.0,2320.0,36.88,0.0,organic,2015,West Tex/New Mexico,4,Level 3,31.75355119999999,-106.4917179
1.83,33.12,99.36,0.0,1096.03,0.0,0.0,organic,2015,Albany,5,Level 3,42.6525793,-73.7562317
1.44,1565.49,4210.72,0.0,1133.33,756.16,0.0,organic,2015,Atlanta,5,Level 3,33.748752,-84.38768449999999
1.15,14635.12,8013.19,667.82,4613.61,0.0,0.0,organic,2015,Baltimore/Washington,5,Level 3,39.1775921,-76.6683889
1.43,0.0,999.31,0.0,283.33,498.12,0.0,organic,2015,Boise,5,Level 3,43.6150186,-116.2023137
1.78,12.18,1308.94,0.0,1622.73,0.0,0.0,organic,2015,Boston,5,Level 3,42.3600825,-71.0588801
1.55,18.78,102.35,0.0,2687.42,0.0,0.0,organic,2015,Buffalo/Rochester,5,Level 3,43.15657789999999,-77.6088465
1.11,142332.45,41999.51,2.92,11697.02,0.0,0.0,organic,2015,California,5,Level 2,36.778261,-119.4179324
1.93,210.49,1244.18,1457.98,644.69,0.0,0.0,organic,2015,Charlotte,5,Level 3,35.2270869,-80.8431267
