average_price,total_volume,geography
1.09,429492.28,Sacramento
0.82,544667.18,San Diego
1.03,916450.76,San Francisco
1.06,527350.82,Seattle
1.1,279706.73,South Carolina
0.8,5409726.02,South Central
1.18,2433295.61,Southeast
1.07,70697.07,Spokane
1.29,164917.61,St. Louis
1.45,42017.49,Syracuse
1.24,235231.08,Tampa
1.01,29063542.75,Total U.S.
0.95,5333097.71,West
0.92,584896.99,West Tex/New Mexico
1.17,44511.28,Albany
1.11,431490.99,Atlanta
1.23,657741.34,Baltimore/Washington
1.08,62870.49,Boise
1.23,401331.33,Boston
1.52,107040.29,Buffalo/Rochester
1.02,5570915.26,California
1.25,152671.15,Charlotte
1.14,797741.43,Chicago
0.93,175681.09,Cincinnati/Dayton
1.02,116450.21,Columbus
0.76,1091677.29,Dallas/Ft. Worth
0.99,808194.41,Denver
1.1,291788.43,Detroit
1.07,150201.39,Grand Rapids
1.08,3006207.02,Great Lakes
1.24,182604.68,Harrisburg/Scranton
1.39,229216.05,Hartford/Springfield
0.77,1017854.16,Houston
1.14,149319.82,Indianapolis
1.27,99496.16,Jacksonville
1.06,233186.09,Las Vegas
0.89,2800679.5,Los Angeles
1.06,85580.15,Louisville
1.3,405138.19,Miami/Ft. Lauderdale
1.19,2330829.2,Midsouth
1.08,143464.64,Nashville
1.03,267666.12,New Orleans/Mobile
1.37,1044280.56,New York
1.32,3066789.62,Northeast
1.12,309202.71,Northern New England
1.33,191078.37,Orlando
1.4,331495.41,Philadelphia
0.67,1088608.66,Phoenix/Tucson
1.47,59312.07,Pittsburgh
1.02,1674945.55,Plains
1.11,439617.61,Portland
1.22,204504.99,Raleigh/Greensboro
1.18,179038.39,Richmond/Norfolk
1.18,112106.05,Roanoke
1.22,367047.36,Sacramento
1.01,461063.73,San Diego
1.22,753746.51,San Francisco
1.2,463472.52,Seattle
1.15,276205.95,South Carolina
0.79,5322625.57,South Central
1.19,2595783.66,Southeast
1.18,69600.14,Spokane
1.28,170590.85,St. Louis
1.4,40391.55,Syracuse
1.27,228920.62,Tampa
1.03,29043458.85,Total U.S.
0.96,5475363.01,West
0.8,729795.72,West Tex/New Mexico
1.06,45147.5,Albany
1.1,449332.85,Atlanta
1.2,692934.46,Baltimore/Washington
1.03,66069.21,Boise
1.17,409343.56,Boston
1.5,114052.94,Buffalo/Rochester
1.06,4929884.26,California
1.18,167270.13,Charlotte
1.22,745439.17,Chicago
0.93,213554.45,Cincinnati/Dayton
1.08,116995.68,Columbus
0.8,1008295.47,Dallas/Ft. Worth
1.02,695658.81,Denver
1.19,277325.29,Detroit
1.19,144301.73,Grand Rapids
1.13,2928692.32,Great Lakes
1.17,206074.14,Harrisburg/Scranton
1.35,241174.11,Hartford/Springfield
0.77,983910.94,Houston
1.06,149473.79,Indianapolis
1.2,109940.55,Jacksonville
1.06,249509.99,Las Vegas
0.96,2329987.29,Los Angeles
1.02,86635.35,Louisville
1.27,398055.71,Miami/Ft. Lauderdale
1.15,2480820.72,Midsouth
1.07,140855.47,Nashville
0.94,271448.06,New Orleans/Mobile
1.36,1102868.27,New York
1.27,3238501.89,Northeast
1.06,290611.31,Northern New England
1.28,211991.09,Orlando
1.36,355645.73,Philadelphia
0.61,1233503.27,Phoenix/Tucson
1.32,98722.79,Pittsburgh
1.08,1510836.96,Plains
1.09,432770.06,Portland
1.16,233277.19,Raleigh/Greensboro
1.17,194086.08,Richmond/Norfolk
1.15,123070.18,Roanoke
1.19,360027.65,Sacramento
1.02,406591.11,San Diego
1.21,713523.24,San Francisco
1.26,420124.11,Seattle
1.06,311348.31,South Carolina
0.81,5142259.93,South Central
1.15,2778000.82,Southeast
1.21,64116.71,Spokane
1.17,176820.49,St. Louis
1.37,44517.84,Syracuse
1.21,260471.23,Tampa
1.04,28470310.84,Total U.S.
0.94,5461313.9,West
0.8,720800.61,West Tex/New Mexico
0.99,70873.6,Albany
0.96,636771.37,Atlanta
1.06,1007418.76,Baltimore/Washington
0.91,113578.24,Boise
1.22,490022.14,Boston
1.33,153920.35,Buffalo/Rochester
0.85,9032180.67,California
0.98,254009.7,Charlotte
0.91,1133491.66,Chicago
0.86,300905.18,Cincinnati/Dayton
0.87,216653.06,Columbus
0.68,1391089.32,Dallas/Ft. Worth
0.93,990211.57,Denver
0.92,539750.77,Detroit
0.94,309471.69,Grand Rapids
0.91,4874124.41,Great Lakes
1.06,283137.88,Harrisburg/Scranton
1.32,297969.31,Hartford/Springfield
0.72,1280364.01,Houston
0.92,245352.56,Indianapolis
0.92,237910.63,Jacksonville
0.94,370223.11,Las Vegas
0.74,4031949.04,Los Angeles
0.9,125504.98,Louisville
0.95,753300.79,Miami/Ft. Lauderdale
0.99,3668037.65,Midsouth
0.94,221471.45,Nashville
0.81,367711.87,New Orleans/Mobile
1.36,1433763.11,New York
1.23,4298883.17,Northeast
1.06,412752.74,Northern New England
0.95,489224.51,Orlando
1.14,569304.8,Philadelphia
0.56,1544750.92,Phoenix/Tucson
1.25,112065.73,Pittsburgh
0.92,2561325.42,Plains
0.98,776237.93,Portland
0.99,344288.82,Raleigh/Greensboro
0.97,308461.1,Richmond/Norfolk
1.0,168217.72,Roanoke
1.04,771974.9,Sacramento
0.85,692276.13,San Diego
0.91,1352027.64,San Francisco
0.97,933148.31,Seattle
0.91,469684.32,South Carolina
0.71,6934356.31,South Central
0.93,4924049.79,Southeast
0.97,135656.36,Spokane
1.1,308371.9,St. Louis
1.26,57424.15,Syracuse
0.92,562242.53,Tampa
0.89,44655461.51,Total U.S.
0.84,8362504.08,West
0.71,916367.42,West Tex/New Mexico
0.99,51253.97,Albany
1.03,433883.91,Atlanta
1.09,844931.21,Baltimore/Washington
1.07,69970.75,Boise
1.04,609985.34,Boston
1.36,132760.1,Buffalo/Rochester
0.91,5871224.58,California
1.17,150139.38,Charlotte
1.13,729325.61,Chicago
0.93,186617.2,Cincinnati/Dayton
0.96,128078.27,Columbus
0.67,1207167.54,Dallas/Ft. Worth
0.95,766576.39,Denver
1.11,268195.87,Detroit
1.24,132621.01,Grand Rapids
1.07,2856456.35,Great Lakes
1.02,239756.62,Harrisburg/Scranton
1.09,364571.57,Hartford/Springfield
0.7,1180723.02,Houston
0.98,158792.02,Indianapolis
1.21,91840.75,Jacksonville
1.01,318770.67,Las Vegas
0.9,2641032.65,Los Angeles
1.0,87054.02,Louisville
1.25,348210.5,Miami/Ft. Lauderdale
1.06,2734006.98,Midsouth
0.94,171749.31,Nashville
0.93,242065.29,New Orleans/Mobile
1.11,1658708.73,New York
1.09,4457049.41,Northeast
1.03,363935.24,Northern New England
1.23,204396.56,Orlando
1.09,477875.71,Philadelphia
0.64,1151157.44,Phoenix/Tucson
1.38,66360.74,Pittsburgh
0.98,1794543.77,Plains
1.08,447701.68,Portland
1.14,222483.88,Raleigh/Greensboro
1.06,212887.85,Richmond/Norfolk
1.02,145648.4,Roanoke
0.98,432572.45,Sacramento
0.98,448394.83,San Diego
0.92,928836.58,San Francisco
1.08,488980.65,Seattle
1.06,282822.72,South Carolina
0.73,5900232.15,South Central
1.11,2573973.63,Southeast
1.03,74139.25,Spokane
1.09,214718.99,St. Louis
1.25,51557.01,Syracuse
1.19,236434.37,Tampa
0.95,32137333.01,Total U.S.
0.89,5949846.14,West
0.72,811664.36,West Tex/New Mexico
1.06,41567.62,Albany
1.06,427391.28,Atlanta
1.25,637319.34,Baltimore/Washington
1.14,61221.98,Boise
1.2,399883.99,Boston
1.44,100207.14,Buffalo/Rochester
0.96,5699944.93,California
1.22,156798.51,Charlotte
1.17,726401.24,Chicago
0.94,169950.37,Cincinnati/Dayton
1.05,106663.68,Columbus
0.77,1020856.87,Dallas/Ft. Worth
1.12,629074.28,Denver
1.16,255597.63,Detroit
1.21,136761.35,Grand Rapids
1.15,2610004.41,Great Lakes
1.22,187671.77,Harrisburg/Scranton
1.39,223170.31,Hartford/Springfield
0.73,1062387.72,Houston
1.3,121767.82,Indianapolis
1.24,105176.25,Jacksonville
1.12,255465.26,Las Vegas
0.83,2926435.94,Los Angeles
1.13,80537.77,Louisville
1.29,353520.71,Miami/Ft. Lauderdale
1.17,2420829.45,Midsouth
1.03,153852.03,Nashville
1.02,230069.01,New Orleans/Mobile
1.36,997562.44,New York
1.29,2983695.9,Northeast
1.11,288514.78,Northern New England
1.26,204812.28,Orlando
1.34,335173.17,Philadelphia
0.6,1159509.68,Phoenix/Tucson
1.43,60213.79,Pittsburgh
1.05,1507821.92,Plains
1.23,363889.04,Portland
1.21,230632.14,Raleigh/Greensboro
1.13,207249.74,Richmond/Norfolk
1.07,136950.98,Roanoke
1.13,381041.74,Sacramento
0.94,486113.55,San Diego
1.23,696515.27,San Francisco
1.33,352335.1,Seattle
1.11,278514.05,South Carolina
0.8,5204971.91,South Central
1.16,2558563.78,Southeast
1.24,57869.58,Spokane
1.23,169118.65,St. Louis
1.35,38750.74,Syracuse
1.21,242478.65,Tampa
1.03,28012520.93,Total U.S.
0.98,5026688.71,West
0.78,743066.25,West Tex/New Mexico
1.07,45675.05,Albany
1.1,431308.56,Atlanta
1.11,749845.79,Baltimore/Washington
0.99,76836.1,Boise
1.23,355432.28,Boston
1.41,109546.92,Buffalo/Rochester
0.96,5951871.32,California
1.08,201741.43,Charlotte
1.18,773078.09,Chicago
0.93,183072.02,Cincinnati/Dayton
1.09,114280.87,Columbus
0.8,1116600.76,Dallas/Ft. Worth
1.0,899302.8,Denver
1.15,250888.8,Detroit
1.31,129295.86,Grand Rapids
1.16,2730224.03,Great Lakes
1.2,191040.19,Harrisburg/Scranton
1.38,220210.32,Hartford/Springfield
0.82,978807.74,Houston
1.34,127501.04,Indianapolis
1.1,121048.7,Jacksonville
1.16,242732.32,Las Vegas
0.83,2954705.54,Los Angeles
1.01,107443.35,Louisville
1.24,369819.98,Miami/Ft. Lauderdale
1.1,2720346.71,Midsouth
1.05,148164.2,Nashville
0.92,256174.52,New Orleans/Mobile
1.33,1088977.45,New York
1.29,3042447.03,Northeast
1.13,264118.86,Northern New England
1.18,226965.26,Orlando
1.36,348215.37,Philadelphia
0.63,1163115.49,Phoenix/Tucson
1.26,70345.39,Pittsburgh
1.08,1547969.24,Plains
1.11,495032.46,Portland
1.11,258728.48,Raleigh/Greensboro
1.1,225830.42,Richmond/Norfolk
1.09,127855.51,Roanoke
1.14,405013.16,Sacramento
0.92,516149.11,San Diego
1.23,776336.17,San Francisco
1.11,552036.54,Seattle
1.02,332918.7,South Carolina
0.85,5208272.73,South Central
1.11,2796195.76,Southeast
1.03,85295.41,Spokane
1.32,156112.67,St. Louis
1.33,42662.65,Syracuse
1.12,268415.49,Tampa
1.02,29936729.76,Total U.S.
0.95,5939402.98,West
0.85,681409.59,West Tex/New Mexico
0.99,55595.74,Albany
0.99,512532.44,Atlanta
1.16,770115.24,Baltimore/Washington
1.06,75046.37,Boise
1.11,485736.1,Boston
1.43,112363.86,Buffalo/Rochester
0.84,6700134.25,California
1.18,176146.34,Charlotte
1.09,863391.73,Chicago
0.89,226951.64,Cincinnati/Dayton
1.03,136795.35,Columbus
0.82,1144032.03,Dallas/Ft. Worth
1.03,670820.5,Denver
0.97,397899.56,Detroit
0.95,263987.21,Grand Rapids
1.02,3566752.43,Great Lakes
1.07,230913.14,Harrisburg/Scranton
1.12,314917.55,Hartford/Springfield
0.87,991328.46,Houston
1.13,169556.49,Indianapolis
1.01,167254.64,Jacksonville
1.05,293036.34,Las Vegas
0.75,3094278.93,Los Angeles
1.02,78626.99,Louisville
1.01,647014.16,Miami/Ft. Lauderdale
1.14,2538981.6,Midsouth
0.99,169423.5,Nashville
1.08,224752.17,New Orleans/Mobile
1.18,1338129.89,New York
1.15,3780455.44,Northeast
1.05,355677.99,Northern New England
1.0,316199.07,Orlando
1.24,392412.07,Philadelphia
0.7,1031351.33,Phoenix/Tucson
1.25,65484.37,Pittsburgh
1.09,1619341.49,Plains
0.94,598755.26,Portland
1.2,216841.43,Raleigh/Greensboro
1.13,194798.39,Richmond/Norfolk
1.11,110991.01,Roanoke
1.02,452845.47,Sacramento
0.83,572552.24,San Diego
0.95,1039265.17,San Francisco
1.07,613535.33,Seattle
1.05,337576.71,South Carolina
0.87,5314431.93,South Central
1.01,3633174.13,Southeast
1.03,88304.41,Spokane
1.24,179277.41,St. Louis
1.32,47890.09,Syracuse
1.0,373461.94,Tampa
0.97,32994014.16,Total U.S.
0.95,5840742.83,West
0.84,723488.95,West Tex/New Mexico
1.07,40507.36,Albany
1.1,420826.32,Atlanta
1.26,657745.9,Baltimore/Washington
1.14,65350.24,Boise
1.17,408403.96,Boston
1.35,125724.96,Buffalo/Rochester
0.96,5990243.89,California
1.25,159386.69,Charlotte
1.18,772997.09,Chicago
0.87,219110.81,Cincinnati/Dayton
0.95,141281.56,Columbus
0.75,1218684.28,Dallas/Ft. Worth
1.03,719792.51,Denver
1.01,278695.29,Detroit
1.08,146835.6,Grand Rapids
1.04,3134752.64,Great Lakes
1.15,192277.92,Harrisburg/Scranton
1.43,210375.08,Hartford/Springfield
0.78,1166055.83,Houston
1.07,160438.38,Indianapolis
1.24,112487.2,Jacksonville
1.01,291046.81,Las Vegas
0.86,2797745.89,Los Angeles
1.18,62728.85,Louisville
1.3,356311.66,Miami/Ft. Lauderdale
1.21,2297509.11,Midsouth
1.08,149239.4,Nashville
1.06,248273.79,New Orleans/Mobile
1.36,1129333.95,New York
1.27,3250832.53,Northeast
1.09,287963.73,Northern New England
1.27,219071.79,Orlando
1.4,349609.78,Philadelphia
0.72,1042159.49,Phoenix/Tucson
0.95,159735.96,Pittsburgh
1.11,1531085.64,Plains
1.17,419849.55,Portland
1.24,198900.07,Raleigh/Greensboro
1.19,177541.37,Richmond/Norfolk
1.16,111702.58,Roanoke
1.12,415147.69,Sacramento
0.95,504284.16,San Diego
1.16,830775.42,San Francisco
1.24,439846.35,Seattle
1.14,289679.91,South Carolina
0.8,5864999.81,South Central
1.18,2642581.73,Southeast
1.18,69848.58,Spokane
1.36,147525.59,St. Louis
1.28,46199.2,Syracuse
1.22,259317.73,Tampa
1.02,30094698.85,Total U.S.
0.99,5382693.51,West
0.73,805731.03,West Tex/New Mexico
1.11,43045.79,Albany
1.12,399566.22,Atlanta
1.24,693698.13,Baltimore/Washington
1.0,65918.28,Boise
1.25,417750.36,Boston
1.47,103413.11,Buffalo/Rochester
1.06,5557163.11,California
1.19,183944.05,Charlotte
1.09,827010.39,Chicago
0.94,196008.57,Cincinnati/Dayton
1.01,149884.1,Columbus
0.72,1211158.55,Dallas/Ft. Worth
1.03,662131.8,Denver
1.13,254974.87,Detroit
1.35,123895.07,Grand Rapids
1.1,2948199.23,Great Lakes
1.2,190760.3,Harrisburg/Scranton
1.4,225761.68,Hartford/Springfield
0.77,1043172.77,Houston
1.21,140487.57,Indianapolis
1.27,110128.66,Jacksonville
1.07,261650.41,Las Vegas
0.94,2690257.2,Los Angeles
1.21,56870.1,Louisville
1.33,371716.28,Miami/Ft. Lauderdale
1.19,2462108.11,Midsouth
1.08,131053.65,Nashville
1.09,233696.32,New Orleans/Mobile
1.45,1097737.98,New York
1.34,3135991.73,Northeast
1.15,301852.8,Northern New England
1.27,226247.68,Orlando
1.44,331456.96,Philadelphia
0.6,1326720.8,Phoenix/Tucson
1.23,71906.75,Pittsburgh
1.1,1590080.35,Plains
1.21,392802.67,Portland
1.18,252527.34,Raleigh/Greensboro
1.16,210124.43,Richmond/Norfolk
1.12,119124.45,Roanoke
1.22,380761.14,Sacramento
1.06,463106.48,San Diego
1.26,779754.03,San Francisco
1.24,453589.67,Seattle
1.15,297855.71,South Carolina
0.79,5703759.21,South Central
1.21,2602341.55,Southeast
1.19,71766.04,Spokane
1.33,157799.23,St. Louis
1.36,42078.58,Syracuse
1.25,257172.84,Tampa
1.04,29572225.71,Total U.S.
0.94,5572582.45,West
0.75,827795.25,West Tex/New Mexico
1.12,46346.85,Albany
1.0,479590.62,Atlanta
1.1,808897.21,Baltimore/Washington
1.17,61419.11,Boise
1.18,453173.22,Boston
1.4,119902.96,Buffalo/Rochester
1.06,5571812.77,California
1.19,182876.15,Charlotte
1.21,799946.53,Chicago
0.98,212719.94,Cincinnati/Dayton
0.94,182625.49,Columbus
0.67,1333424.37,Dallas/Ft. Worth
1.15,603112.11,Denver
0.97,455372.43,Detroit
0.91,311876.75,Grand Rapids
1.04,3746598.18,Great Lakes
1.08,219149.75,Harrisburg/Scranton
1.11,292821.36,Hartford/Springfield
0.8,1036663.77,Houston
1.11,160557.81,Indianapolis
0.96,185570.06,Jacksonville
0.9,311228.44,Las Vegas
1.01,2466735.33,Los Angeles
0.99,95101.27,Louisville
0.97,642934.25,Miami/Ft. Lauderdale
1.11,2779012.66,Midsouth
1.01,173980.22,Nashville
0.9,282494.07,New Orleans/Mobile
1.33,1192732.41,New York
1.22,3520408.65,Northeast
1.19,282155.05,Northern New England
0.98,363504.44,Orlando
1.18,449261.63,Philadelphia
0.71,1089117.0,Phoenix/Tucson
1.23,68499.85,Pittsburgh
1.09,1651115.09,Plains
1.1,426180.78,Portland
1.19,244658.35,Raleigh/Greensboro
1.12,213086.98,Richmond/Norfolk
1.09,126535.83,Roanoke
1.13,424708.39,Sacramento
0.96,515764.64,San Diego
1.19,841723.81,San Francisco
1.13,514196.67,Seattle
1.0,366680.0,South Carolina
0.76,6008817.9,South Central
0.98,3867453.83,Southeast
1.1,74725.33,Spokane
1.34,163325.4,St. Louis
1.33,48180.98,Syracuse
0.97,440106.92,Tampa
1.01,32513550.51,Total U.S.
0.99,5368331.44,West
0.85,752576.08,West Tex/New Mexico
1.02,67799.08,Albany
1.11,365722.14,Atlanta
1.25,663677.32,Baltimore/Washington
0.98,74543.98,Boise
1.19,453631.25,Boston
1.39,119890.65,Buffalo/Rochester
1.1,5341821.67,California
1.23,178788.49,Charlotte
1.22,757271.96,Chicago
0.95,198365.16,Cincinnati/Dayton
0.96,139065.31,Columbus
0.79,1164808.22,Dallas/Ft. Worth
1.11,627546.3,Denver
0.97,304048.16,Detroit
1.11,149631.24,Grand Rapids
1.09,2971443.88,Great Lakes
1.14,197282.25,Harrisburg/Scranton
1.22,241495.12,Hartford/Springfield
0.79,1116225.29,Houston
1.09,161288.59,Indianapolis
1.2,109050.11,Jacksonville
0.84,354048.59,Las Vegas
1.0,2566690.28,Los Angeles
1.0,93802.08,Louisville
1.25,370065.74,Miami/Ft. Lauderdale
1.18,2523110.39,Midsouth
1.07,151301.45,Nashville
0.97,237188.41,New Orleans/Mobile
1.36,1183815.23,New York
1.26,3497026.98,Northeast
1.07,412639.2,Northern New England
1.25,216925.45,Orlando
1.39,339877.09,Philadelphia
0.57,1231267.27,Phoenix/Tucson
1.25,69747.2,Pittsburgh
1.08,1657404.68,Plains
1.2,401824.91,Portland
1.23,238992.24,Raleigh/Greensboro
1.15,205954.04,Richmond/Norfolk
1.13,117662.32,Roanoke
1.2,391178.81,Sacramento
1.08,450370.85,San Diego
1.3,742583.03,San Francisco
1.22,452743.21,Seattle
1.11,284839.51,South Carolina
0.82,5713017.35,South Central
1.16,2558925.23,Southeast
1.12,74999.31,Spokane
1.21,198395.76,St. Louis
1.29,52419.71,Syracuse
1.2,254520.54,Tampa
1.04,29982648.43,Total U.S.
0.93,5719898.26,West
0.74,908323.3,West Tex/New Mexico
1.16,47362.13,Albany
1.04,383139.49,Atlanta
1.29,688065.45,Baltimore/Washington
1.09,76704.46,Boise
1.27,449818.01,Boston
1.44,124145.62,Buffalo/Rochester
1.12,5467155.55,California
1.19,177919.28,Charlotte
1.27,751812.42,Chicago
1.06,196168.6,Cincinnati/Dayton
1.09,126109.82,Columbus
0.77,1324348.89,Dallas/Ft. Worth
1.19,645727.95,Denver
1.11,295385.41,Detroit
1.22,157721.54,Grand Rapids
1.18,2938918.81,Great Lakes
1.21,216376.66,Harrisburg/Scranton
1.33,246967.21,Hartford/Springfield
0.83,1249645.2,Houston
1.17,151260.15,Indianapolis
1.1,146744.37,Jacksonville
0.81,360356.29,Las Vegas
1.01,2603114.56,Los Angeles
1.08,75626.3,Louisville
1.11,510738.88,Miami/Ft. Lauderdale
1.19,2519677.31,Midsouth
1.06,155074.03,Nashville
0.99,237821.61,New Orleans/Mobile
1.41,1244324.47,New York
1.34,3467770.71,Northeast
1.19,309143.83,Northern New England
1.1,300679.66,Orlando
1.43,365947.19,Philadelphia
0.57,1320320.85,Phoenix/Tucson
1.29,76146.82,Pittsburgh
1.13,1668243.39,Plains
1.22,432729.65,Portland
1.12,245491.91,Raleigh/Greensboro
1.14,222122.63,Richmond/Norfolk
1.19,121569.73,Roanoke
1.23,404333.75,Sacramento
1.11,469883.87,San Diego
1.33,742539.71,San Francisco
1.26,466120.48,Seattle
1.1,311646.73,South Carolina
0.83,6368728.85,South Central
1.08,3140456.17,Southeast
1.15,73681.06,Spokane
1.36,159461.64,St. Louis
1.38,50015.81,Syracuse
1.09,354134.22,Tampa
1.06,31500669.44,Total U.S.
0.95,5929718.67,West
0.76,938880.6,West Tex/New Mexico
1.13,48364.29,Albany
0.99,451101.89,Atlanta
1.15,837629.62,Baltimore/Washington
1.19,66246.3,Boise
1.26,408485.16,Boston
1.42,118172.53,Buffalo/Rochester
1.06,5636644.51,California
1.17,204005.24,Charlotte
1.24,710718.98,Chicago
1.02,188937.83,Cincinnati/Dayton
1.07,129397.39,Columbus
0.72,1266899.55,Dallas/Ft. Worth
1.05,858680.51,Denver
1.02,271182.01,Detroit
1.13,147494.24,Grand Rapids
1.11,2895992.9,Great Lakes
1.18,201544.53,Harrisburg/Scranton
1.25,251083.39,Hartford/Springfield
0.79,1096074.97,Houston
1.15,146422.18,Indianapolis
0.99,180970.46,Jacksonville
0.76,369817.99,Las Vegas
0.93,2799667.4,Los Angeles
0.97,88236.19,Louisville
1.0,692569.85,Miami/Ft. Lauderdale
1.13,2829416.58,Midsouth
1.0,158490.37,Nashville
0.97,235709.99,New Orleans/Mobile
1.43,1084407.8,New York
1.33,3203213.09,Northeast
1.16,306250.63,Northern New England
0.99,375363.86,Orlando
1.44,335389.56,Philadelphia
0.66,1019280.57,Phoenix/Tucson
1.5,69339.77,Pittsburgh
0.97,2160085.64,Plains
1.16,433703.29,Portland
1.1,274985.46,Raleigh/Greensboro
1.11,213032.44,Richmond/Norfolk
1.13,129698.87,Roanoke
1.24,382583.75,Sacramento
1.01,515246.69,San Diego
1.33,729890.28,San Francisco
1.33,396728.35,Seattle
1.05,356627.38,South Carolina
0.8,5930072.71,South Central
1.0,3781504.91,Southeast
1.21,64529.74,Spokane
1.21,214125.11,St. Louis
1.36,46828.88,Syracuse
0.99,425033.14,Tampa
1.02,32046401.64,Total U.S.
0.98,5609471.36,West
0.76,840314.58,West Tex/New Mexico
1.19,49064.73,Albany
1.12,430966.34,Atlanta
1.28,762862.62,Baltimore/Washington
0.99,89694.96,Boise
1.15,504619.83,Boston
1.42,139612.52,Buffalo/Rochester
1.05,5871080.81,California
1.18,180944.22,Charlotte
1.24,832529.06,Chicago
1.02,226978.72,Cincinnati/Dayton
1.0,172913.44,Columbus
0.8,1137811.87,Dallas/Ft. Worth
1.08,797021.22,Denver
0.96,468643.05,Detroit
0.93,310672.4,Grand Rapids
1.06,3857605.11,Great Lakes
1.17,237429.16,Harrisburg/Scranton
1.35,271198.73,Hartford/Springfield
0.82,933033.17,Houston
1.08,179103.3,Indianapolis
1.17,124795.93,Jacksonville
0.82,336520.6,Las Vegas
0.93,2901188.07,Los Angeles
1.01,95959.08,Louisville
1.23,434025.46,Miami/Ft. Lauderdale
1.18,2711008.32,Midsouth
1.11,140649.3,Nashville
0.93,263486.63,New Orleans/Mobile
1.42,1332514.63,New York
1.31,3786141.18,Northeast
1.13,346561.62,Northern New England
1.23,231777.27,Orlando
1.43,389414.29,Philadelphia
0.51,1366844.88,Phoenix/Tucson
1.49,75775.26,Pittsburgh
1.12,1801956.87,Plains
0.99,610658.64,Portland
1.13,255436.55,Raleigh/Greensboro
1.1,231641.21,Richmond/Norfolk
1.08,144665.27,Roanoke
1.19,415841.32,Sacramento
1.04,488094.98,San Diego
1.23,818816.7,San Francisco
1.13,570030.63,Seattle
1.08,322940.72,South Carolina
0.82,5593885.09,South Central
1.14,2857156.51,Southeast
1.03,91379.33,Spokane
1.34,184979.95,St. Louis
1.4,52800.83,Syracuse
1.16,280464.73,Tampa
1.03,33091256.26,Total U.S.
0.88,6612422.28,West
0.7,961001.34,West Tex/New Mexico
1.22,49585.46,Albany
1.12,448596.76,Atlanta
1.29,747841.09,Baltimore/Washington
0.96,88111.17,Boise
1.28,465911.37,Boston
1.41,136964.3,Buffalo/Rochester
1.15,4923565.04,California
1.2,182141.55,Charlotte
1.24,779868.01,Chicago
1.06,214469.51,Cincinnati/Dayton
1.02,161438.17,Columbus
