average_price,total_volume,geography
1.57,3860.33,Richmond/Norfolk
1.47,5411.77,Roanoke
1.44,9707.59,Sacramento
1.26,11132.08,San Diego
1.34,27146.81,San Francisco
1.7,29354.75,Seattle
2.01,2865.92,South Carolina
1.37,58961.59,South Central
1.81,23809.3,Southeast
1.66,3313.55,Spokane
1.93,4131.86,St. Louis
1.77,845.05,Syracuse
1.75,1460.04,Tampa
1.53,556368.86,Total U.S.
1.52,166494.38,West
1.63,7324.06,West Tex/New Mexico
1.83,1228.51,Albany
1.44,7665.7,Atlanta
1.15,27929.74,Baltimore/Washington
1.43,1780.76,Boise
1.78,2943.85,Boston
1.55,2808.55,Buffalo/Rochester
1.11,196031.9,California
1.93,3557.34,Charlotte
1.52,14391.05,Chicago
1.19,10707.5,Cincinnati/Dayton
1.63,4215.96,Columbus
1.24,12276.58,Dallas/Ft. Worth
1.29,27527.63,Denver
1.55,8707.92,Detroit
1.98,769.05,Grand Rapids
1.53,63248.58,Great Lakes
1.65,3796.16,Harrisburg/Scranton
1.54,6084.48,Hartford/Springfield
1.15,12285.76,Houston
1.69,1565.24,Indianapolis
1.76,1591.75,Jacksonville
1.6,7634.17,Las Vegas
1.12,50107.32,Los Angeles
1.55,1336.46,Louisville
1.73,1767.3,Miami/Ft. Lauderdale
1.44,72159.84,Midsouth
1.65,4205.27,Nashville
1.48,2013.46,New Orleans/Mobile
1.93,24697.84,New York
1.78,63537.1,Northeast
1.89,6551.44,Northern New England
1.76,2499.88,Orlando
1.69,4907.41,Philadelphia
1.18,13645.72,Phoenix/Tucson
1.77,1427.11,Pittsburgh
1.67,30193.16,Plains
1.2,39672.8,Portland
1.79,4385.19,Raleigh/Greensboro
1.58,3916.98,Richmond/Norfolk
1.5,4941.74,Roanoke
1.22,13195.65,Sacramento
1.11,18623.99,San Diego
1.06,57802.02,San Francisco
1.44,40334.59,Seattle
1.66,3977.03,South Carolina
1.28,64156.46,South Central
1.6,35085.7,Southeast
1.38,6444.84,Spokane
1.93,2688.02,St. Louis
1.65,1285.09,Syracuse
1.68,2109.19,Tampa
1.36,740896.97,Total U.S.
1.34,216484.22,West
1.77,7210.19,West Tex/New Mexico
1.59,1770.87,Albany
1.29,13288.3,Atlanta
1.43,14898.15,Baltimore/Washington
1.35,3870.67,Boise
1.91,3098.29,Boston
1.54,3414.8,Buffalo/Rochester
1.35,132790.41,California
1.87,4011.02,Charlotte
1.78,9910.84,Chicago
1.24,10351.99,Cincinnati/Dayton
1.78,3483.64,Columbus
1.35,10315.32,Dallas/Ft. Worth
1.4,22798.51,Denver
1.86,6499.18,Detroit
1.79,1083.77,Grand Rapids
1.64,58545.6,Great Lakes
1.67,3408.2,Harrisburg/Scranton
2.37,5223.36,Hartford/Springfield
1.25,9077.59,Houston
1.68,2086.14,Indianapolis
1.71,2242.67,Jacksonville
1.68,7138.01,Las Vegas
1.29,46991.12,Los Angeles
1.61,1438.14,Louisville
1.72,2118.66,Miami/Ft. Lauderdale
1.58,64774.28,Midsouth
1.64,4614.78,Nashville
1.53,3532.67,New Orleans/Mobile
1.95,22571.11,New York
1.85,65898.99,Northeast
1.88,7856.82,Northern New England
1.75,3229.47,Orlando
1.76,4172.75,Philadelphia
1.55,12418.02,Phoenix/Tucson
1.6,2253.42,Pittsburgh
1.54,46329.16,Plains
1.23,57669.71,Portland
1.73,5749.75,Raleigh/Greensboro
1.55,4719.47,Richmond/Norfolk
1.44,5184.57,Roanoke
1.5,8676.28,Sacramento
1.29,15054.25,San Diego
1.35,27556.76,San Francisco
1.4,54484.31,Seattle
1.56,6072.82,South Carolina
1.39,65372.85,South Central
1.51,50546.78,Southeast
1.43,5788.14,Spokane
1.89,3707.77,St. Louis
1.65,1283.8,Syracuse
1.65,2953.53,Tampa
1.48,730874.31,Total U.S.
1.4,246616.27,West
1.66,9271.68,West Tex/New Mexico
1.81,1182.3,Albany
1.46,7783.29,Atlanta
1.56,16335.15,Baltimore/Washington
1.62,1308.88,Boise
1.91,2271.95,Boston
1.65,1269.74,Buffalo/Rochester
1.52,116499.36,California
1.92,3125.59,Charlotte
1.81,10575.65,Chicago
1.22,10742.08,Cincinnati/Dayton
1.64,4283.56,Columbus
1.41,10958.57,Dallas/Ft. Worth
1.44,19660.58,Denver
1.82,7038.51,Detroit
1.88,787.72,Grand Rapids
1.65,58236.29,Great Lakes
1.65,4701.71,Harrisburg/Scranton
2.13,2753.92,Hartford/Springfield
1.29,10569.83,Houston
1.77,1601.74,Indianapolis
1.82,1758.64,Jacksonville
1.79,6259.44,Las Vegas
1.43,41524.22,Los Angeles
1.75,1201.07,Louisville
1.75,1791.51,Miami/Ft. Lauderdale
1.48,67813.61,Midsouth
1.11,10581.74,Nashville
1.48,5151.37,New Orleans/Mobile
1.91,25037.76,New York
1.84,57627.38,Northeast
1.87,7199.17,Northern New England
1.85,2038.24,Orlando
1.68,5687.19,Philadelphia
1.66,10159.47,Phoenix/Tucson
1.71,1784.02,Pittsburgh
1.68,39967.69,Plains
1.51,25692.22,Portland
1.69,4322.52,Raleigh/Greensboro
1.59,3487.35,Richmond/Norfolk
1.46,4508.41,Roanoke
1.63,7436.13,Sacramento
1.49,12775.39,San Diego
1.55,24986.4,San Francisco
1.59,37469.0,Seattle
1.72,3363.2,South Carolina
1.39,77922.66,South Central
1.64,31775.03,Southeast
1.51,4449.11,Spokane
1.82,4234.28,St. Louis
1.72,561.1,Syracuse
1.75,1986.05,Tampa
1.58,616177.0,Total U.S.
1.58,166334.97,West
1.7,7309.84,West Tex/New Mexico
1.82,1152.33,Albany
1.38,10969.92,Atlanta
1.19,23920.36,Baltimore/Washington
1.75,1081.18,Boise
1.74,3325.89,Boston
1.53,5821.39,Buffalo/Rochester
1.41,136421.88,California
1.9,3180.29,Charlotte
1.83,10235.09,Chicago
1.23,11254.29,Cincinnati/Dayton
1.79,3933.81,Columbus
1.38,15485.45,Dallas/Ft. Worth
1.4,24794.39,Denver
1.85,7176.69,Detroit
1.89,950.14,Grand Rapids
1.68,56569.37,Great Lakes
1.68,3400.24,Harrisburg/Scranton
2.38,4834.37,Hartford/Springfield
1.26,10792.32,Houston
1.87,1563.5,Indianapolis
1.77,1863.24,Jacksonville
1.79,7179.44,Las Vegas
1.36,44972.88,Los Angeles
1.67,1347.62,Louisville
1.92,1386.85,Miami/Ft. Lauderdale
1.4,75957.01,Midsouth
1.32,9791.87,Nashville
1.52,3561.9,New Orleans/Mobile
2.21,16620.69,New York
1.9,56898.92,Northeast
1.82,6267.8,Northern New England
1.76,2584.79,Orlando
1.75,4341.33,Philadelphia
1.59,10924.58,Phoenix/Tucson
1.71,1860.35,Pittsburgh
1.66,40390.21,Plains
1.38,28687.98,Portland
1.77,3990.91,Raleigh/Greensboro
1.51,4120.01,Richmond/Norfolk
1.36,4664.67,Roanoke
1.51,8785.09,Sacramento
1.44,11764.76,San Diego
1.39,37223.45,San Francisco
1.5,35183.3,Seattle
1.69,3614.76,South Carolina
1.37,81291.05,South Central
1.59,37584.04,Southeast
1.41,4655.86,Spokane
1.8,3091.01,St. Louis
1.57,1926.71,Syracuse
1.68,2650.48,Tampa
1.51,673446.69,Total U.S.
1.48,188334.19,West
1.71,8720.44,West Tex/New Mexico
1.76,1663.35,Albany
1.22,16227.56,Atlanta
1.58,15923.18,Baltimore/Washington
1.68,1396.48,Boise
1.85,3024.12,Boston
1.55,3520.47,Buffalo/Rochester
1.15,250298.58,California
1.9,3545.33,Charlotte
1.82,11842.47,Chicago
1.24,10963.48,Cincinnati/Dayton
1.86,4054.67,Columbus
1.29,17267.84,Dallas/Ft. Worth
1.27,36086.54,Denver
1.92,7174.35,Detroit
1.84,849.44,Grand Rapids
1.69,61260.09,Great Lakes
1.74,3063.7,Harrisburg/Scranton
2.17,3050.04,Hartford/Springfield
1.2,11760.53,Houston
1.79,1625.01,Indianapolis
1.75,2076.28,Jacksonville
1.61,7867.61,Las Vegas
1.14,60244.59,Los Angeles
1.65,1510.75,Louisville
1.75,2035.58,Miami/Ft. Lauderdale
1.61,62339.44,Midsouth
1.76,4269.61,Nashville
1.54,2478.78,New Orleans/Mobile
2.0,20787.25,New York
1.85,56799.83,Northeast
1.82,6940.73,Northern New England
1.7,3031.46,Orlando
1.83,3448.63,Philadelphia
1.37,14618.92,Phoenix/Tucson
1.63,2224.4,Pittsburgh
1.7,36993.47,Plains
1.32,30280.67,Portland
1.73,5491.23,Raleigh/Greensboro
1.47,4298.37,Richmond/Norfolk
1.33,6110.51,Roanoke
1.22,45355.38,Sacramento
1.09,20407.13,San Diego
1.09,49820.01,San Francisco
1.71,24530.11,Seattle
1.52,4830.76,South Carolina
1.34,80536.06,South Central
1.46,47299.44,Southeast
1.58,3505.54,Spokane
1.85,3534.37,St. Louis
1.59,2108.82,Syracuse
1.63,2901.01,Tampa
1.4,814484.79,Total U.S.
1.4,218957.86,West
1.64,8743.37,West Tex/New Mexico
1.79,1626.32,Albany
1.22,16026.95,Atlanta
1.56,19053.84,Baltimore/Washington
1.5,4314.45,Boise
1.91,2566.9,Boston
1.56,2163.15,Buffalo/Rochester
1.48,108346.9,California
1.84,4143.11,Charlotte
1.62,16545.05,Chicago
1.17,13070.44,Cincinnati/Dayton
1.84,4518.71,Columbus
1.39,8557.95,Dallas/Ft. Worth
1.09,70858.71,Denver
1.83,8433.78,Detroit
1.78,1175.95,Grand Rapids
1.6,74152.81,Great Lakes
1.6,6095.01,Harrisburg/Scranton
2.18,3286.02,Hartford/Springfield
1.31,9212.46,Houston
1.69,2205.12,Indianapolis
1.81,2221.57,Jacksonville
1.78,5910.67,Las Vegas
1.35,42280.47,Los Angeles
1.72,1541.79,Louisville
1.69,2708.59,Miami/Ft. Lauderdale
1.62,73251.74,Midsouth
1.8,4231.32,Nashville
1.65,1574.72,New Orleans/Mobile
1.9,19904.38,New York
1.79,60655.7,Northeast
1.87,6756.78,Northern New England
1.75,2782.53,Orlando
1.63,6507.49,Philadelphia
1.52,12545.98,Phoenix/Tucson
1.65,2337.44,Pittsburgh
1.68,33434.23,Plains
1.45,60658.97,Portland
1.74,6539.55,Raleigh/Greensboro
1.57,5746.55,Richmond/Norfolk
1.48,6050.63,Roanoke
1.6,9666.61,Sacramento
1.48,9468.77,San Diego
1.56,20111.3,San Francisco
1.62,47476.51,Seattle
1.53,4954.18,South Carolina
1.44,56752.92,South Central
1.47,46965.06,Southeast
1.55,4836.49,Spokane
1.65,2261.62,St. Louis
1.6,1884.54,Syracuse
1.65,2681.85,Tampa
1.49,783913.05,Total U.S.
1.37,330353.76,West
1.59,10407.27,West Tex/New Mexico
1.79,1473.56,Albany
1.19,13985.95,Atlanta
1.59,11586.41,Baltimore/Washington
1.63,1777.09,Boise
1.99,1965.57,Boston
1.79,712.4,Buffalo/Rochester
1.52,94419.17,California
1.87,3890.97,Charlotte
1.64,15001.33,Chicago
1.22,12310.3,Cincinnati/Dayton
1.65,3385.11,Columbus
1.34,11922.76,Dallas/Ft. Worth
1.12,68533.2,Denver
1.49,9162.43,Detroit
1.87,1329.82,Grand Rapids
1.55,65534.87,Great Lakes
1.72,2403.77,Harrisburg/Scranton
2.26,2727.38,Hartford/Springfield
1.27,12371.76,Houston
1.78,1313.43,Indianapolis
1.86,1891.49,Jacksonville
1.89,4860.39,Las Vegas
1.42,32656.06,Los Angeles
1.65,1664.74,Louisville
1.73,2478.0,Miami/Ft. Lauderdale
1.65,58939.14,Midsouth
1.78,3199.37,Nashville
1.55,2954.83,New Orleans/Mobile
1.81,16570.75,New York
1.83,43012.32,Northeast
1.9,5599.89,Northern New England
1.82,2478.71,Orlando
1.7,4152.94,Philadelphia
1.56,9530.76,Phoenix/Tucson
1.68,1253.46,Pittsburgh
1.67,36469.37,Plains
1.61,25244.87,Portland
1.87,3851.7,Raleigh/Greensboro
1.57,5834.95,Richmond/Norfolk
1.5,6392.65,Roanoke
1.63,9075.16,Sacramento
1.49,8349.37,San Diego
1.56,21389.7,San Francisco
1.8,26717.98,Seattle
1.5,5224.18,South Carolina
1.38,66049.13,South Central
1.48,44030.34,Southeast
1.66,3237.43,Spokane
1.81,3409.93,St. Louis
1.67,846.47,Syracuse
1.68,2301.7,Tampa
1.5,644584.67,Total U.S.
1.41,236130.36,West
1.82,6046.98,West Tex/New Mexico
1.86,1375.02,Albany
1.62,6483.98,Atlanta
1.25,16507.0,Baltimore/Washington
1.51,3570.83,Boise
1.94,2763.26,Boston
1.93,530.96,Buffalo/Rochester
1.3,112284.57,California
1.9,4289.1,Charlotte
1.67,16076.52,Chicago
1.25,13781.05,Cincinnati/Dayton
1.91,2294.07,Columbus
1.29,13176.92,Dallas/Ft. Worth
1.39,29621.9,Denver
1.78,5649.34,Detroit
2.01,683.76,Grand Rapids
1.63,56818.47,Great Lakes
2.09,1169.94,Harrisburg/Scranton
2.18,2848.49,Hartford/Springfield
1.24,11997.73,Houston
1.95,964.25,Indianapolis
1.78,2186.64,Jacksonville
1.46,9021.37,Las Vegas
1.25,41439.59,Los Angeles
1.76,1030.98,Louisville
1.82,1755.09,Miami/Ft. Lauderdale
1.53,57978.41,Midsouth
1.64,3813.7,Nashville
1.56,2568.19,New Orleans/Mobile
2.02,15438.68,New York
1.92,44128.54,Northeast
1.88,8083.91,Northern New England
1.77,3577.55,Orlando
1.84,2777.38,Philadelphia
1.37,13824.58,Phoenix/Tucson
1.47,2059.01,Pittsburgh
1.8,34244.34,Plains
1.29,62866.23,Portland
1.85,4249.61,Raleigh/Greensboro
1.52,3345.52,Richmond/Norfolk
1.36,5490.76,Roanoke
1.52,7875.19,Sacramento
1.16,12951.28,San Diego
1.34,21370.71,San Francisco
1.53,51355.58,Seattle
1.77,4156.05,South Carolina
1.37,71375.61,South Central
1.73,33825.57,Southeast
1.47,6982.04,Spokane
1.83,3795.21,St. Louis
1.76,810.61,Syracuse
1.68,3313.75,Tampa
1.49,682640.03,Total U.S.
1.43,271984.49,West
1.84,7771.97,West Tex/New Mexico
1.93,1082.44,Albany
1.88,5076.62,Atlanta
1.63,15847.83,Baltimore/Washington
1.52,3933.04,Boise
1.98,2121.96,Boston
1.83,1642.66,Buffalo/Rochester
1.53,111423.89,California
1.96,3493.98,Charlotte
1.66,15545.06,Chicago
1.27,13809.65,Cincinnati/Dayton
1.79,3464.77,Columbus
1.36,9162.06,Dallas/Ft. Worth
1.44,29105.69,Denver
1.74,6650.29,Detroit
1.87,1005.21,Grand Rapids
1.62,64282.45,Great Lakes
1.79,3705.26,Harrisburg/Scranton
2.27,2220.8,Hartford/Springfield
1.24,9207.99,Houston
1.81,1169.48,Indianapolis
1.76,2214.84,Jacksonville
1.43,9469.98,Las Vegas
1.42,35121.94,Los Angeles
1.63,1219.02,Louisville
1.83,2723.62,Miami/Ft. Lauderdale
1.65,64688.75,Midsouth
1.67,4455.04,Nashville
1.57,3330.37,New Orleans/Mobile
2.08,16567.2,New York
1.95,46496.41,Northeast
1.9,6433.37,Northern New England
1.89,2718.72,Orlando
1.83,4310.34,Philadelphia
1.46,15287.62,Phoenix/Tucson
1.41,2274.19,Pittsburgh
1.85,34062.08,Plains
1.45,59406.24,Portland
1.78,5373.53,Raleigh/Greensboro
1.6,5559.67,Richmond/Norfolk
1.51,6479.15,Roanoke
1.64,9959.6,Sacramento
1.53,8962.77,San Diego
1.55,28094.96,San Francisco
1.56,56106.52,Seattle
1.93,3194.76,South Carolina
1.42,60007.19,South Central
1.84,29745.23,Southeast
1.55,5611.76,Spokane
2.09,3137.41,St. Louis
1.82,753.78,Syracuse
1.73,2210.49,Tampa
1.6,674551.02,Total U.S.
1.54,263845.02,West
1.77,7485.54,West Tex/New Mexico
1.93,1526.1,Albany
1.74,5558.81,Atlanta
1.63,14551.96,Baltimore/Washington
1.83,1701.31,Boise
1.91,3202.71,Boston
1.8,2585.22,Buffalo/Rochester
1.52,120814.24,California
2.08,3643.37,Charlotte
1.65,21064.17,Chicago
1.22,16010.39,Cincinnati/Dayton
1.38,5289.64,Columbus
1.36,11720.06,Dallas/Ft. Worth
1.42,34432.77,Denver
1.51,8978.08,Detroit
1.83,934.95,Grand Rapids
1.51,81495.39,Great Lakes
1.75,3315.89,Harrisburg/Scranton
2.18,2789.49,Hartford/Springfield
1.25,11676.65,Houston
1.49,2029.52,Indianapolis
1.81,1885.9,Jacksonville
1.67,9356.12,Las Vegas
1.42,44984.85,Los Angeles
1.59,1517.39,Louisville
1.86,1702.0,Miami/Ft. Lauderdale
1.65,68150.51,Midsouth
1.66,5251.04,Nashville
1.53,4820.36,New Orleans/Mobile
2.14,14907.54,New York
1.91,52969.72,Northeast
1.88,8444.82,Northern New England
1.82,2405.02,Orlando
1.81,4382.72,Philadelphia
1.5,14328.05,Phoenix/Tucson
1.35,2808.98,Pittsburgh
1.81,36535.72,Plains
1.76,27428.43,Portland
1.96,4859.09,Raleigh/Greensboro
1.54,4893.26,Richmond/Norfolk
1.42,6849.71,Roanoke
1.64,9013.89,Sacramento
1.53,11171.13,San Diego
1.55,26530.7,San Francisco
1.92,29692.3,Seattle
1.97,3601.21,South Carolina
1.4,76942.46,South Central
1.78,30801.68,Southeast
1.8,2703.36,Spokane
2.13,3420.17,St. Louis
1.76,1690.53,Syracuse
1.72,1998.39,Tampa
1.63,661842.02,Total U.S.
1.69,194132.3,West
1.8,9073.21,West Tex/New Mexico
1.76,1634.59,Albany
1.79,6687.31,Atlanta
1.66,15999.82,Baltimore/Washington
1.41,3807.38,Boise
1.86,3619.27,Boston
1.79,3473.94,Buffalo/Rochester
1.5,119549.28,California
2.12,3870.58,Charlotte
1.3,88346.47,Chicago
1.49,13607.83,Cincinnati/Dayton
1.66,4628.41,Columbus
1.39,11119.47,Dallas/Ft. Worth
1.42,23701.5,Denver
1.72,7736.69,Detroit
1.86,823.5,Grand Rapids
1.42,149583.28,Great Lakes
1.79,4127.83,Harrisburg/Scranton
2.16,3828.42,Hartford/Springfield
1.26,12380.68,Houston
1.76,1912.15,Indianapolis
1.89,1890.99,Jacksonville
1.56,8894.91,Las Vegas
1.39,43407.79,Los Angeles
1.42,1294.45,Louisville
1.81,1877.52,Miami/Ft. Lauderdale
1.53,76027.78,Midsouth
1.5,6607.74,Nashville
1.58,2603.66,New Orleans/Mobile
1.86,25674.65,New York
1.81,69377.2,Northeast
1.87,7094.98,Northern New England
1.89,2310.76,Orlando
1.73,5957.21,Philadelphia
1.56,14281.66,Phoenix/Tucson
1.45,3221.99,Pittsburgh
1.82,31363.93,Plains
1.32,63498.04,Portland
1.67,6453.51,Raleigh/Greensboro
1.23,6492.79,Richmond/Norfolk
1.03,10200.38,Roanoke
1.65,8205.75,Sacramento
1.49,10665.71,San Diego
1.54,28220.45,San Francisco
1.59,61024.8,Seattle
1.94,4030.76,South Carolina
1.4,71697.82,South Central
1.82,29548.36,Southeast
1.58,6356.7,Spokane
2.05,3217.19,St. Louis
1.71,1742.87,Syracuse
1.69,1723.93,Tampa
1.53,810018.27,Total U.S.
1.5,262870.62,West
1.66,8335.28,West Tex/New Mexico
1.96,1516.24,Albany
1.63,6705.06,Atlanta
1.64,15852.99,Baltimore/Washington
1.69,1453.59,Boise
1.94,2696.21,Boston
1.83,2731.48,Buffalo/Rochester
1.52,123851.34,California
2.06,4163.99,Charlotte
1.55,27489.48,Chicago
1.46,15386.2,Cincinnati/Dayton
1.47,4844.5,Columbus
1.35,12054.84,Dallas/Ft. Worth
1.44,23563.42,Denver
1.59,8122.45,Detroit
1.59,1377.1,Grand Rapids
1.57,85825.52,Great Lakes
1.88,2901.35,Harrisburg/Scranton
2.27,3253.43,Hartford/Springfield
1.26,13856.85,Houston
1.78,2011.47,Indianapolis
1.82,2076.77,Jacksonville
1.43,10527.86,Las Vegas
1.41,44688.56,Los Angeles
1.37,1687.21,Louisville
1.61,2879.62,Miami/Ft. Lauderdale
1.51,84443.98,Midsouth
1.45,9167.42,Nashville
1.57,2378.18,New Orleans/Mobile
2.04,24265.78,New York
1.94,60348.96,Northeast
1.88,7468.8,Northern New England
1.76,2745.8,Orlando
1.89,4548.77,Philadelphia
1.48,15735.77,Phoenix/Tucson
1.37,3182.2,Pittsburgh
1.9,29227.44,Plains
1.57,28675.93,Portland
1.68,7895.99,Raleigh/Greensboro
1.26,8170.13,Richmond/Norfolk
1.05,10387.69,Roanoke
1.65,9164.67,Sacramento
1.52,10267.95,San Diego
1.55,28984.95,San Francisco
1.76,36734.87,Seattle
1.87,4376.04,South Carolina
1.39,66454.5,South Central
1.69,34095.71,Southeast
1.69,4029.03,Spokane
2.09,3324.7,St. Louis
1.83,1062.54,Syracuse
1.48,3118.18,Tampa
1.59,675907.97,Total U.S.
1.58,191660.54,West
1.6,11075.85,West Tex/New Mexico
1.9,929.61,Albany
2.01,4447.09,Atlanta
1.7,13466.97,Baltimore/Washington
1.36,2154.49,Boise
1.86,3517.6,Boston
1.84,2560.97,Buffalo/Rochester
1.5,128166.45,California
2.18,3471.08,Charlotte
1.51,31932.1,Chicago
1.36,16289.6,Cincinnati/Dayton
1.57,4883.55,Columbus
1.34,9855.14,Dallas/Ft. Worth
1.03,125507.76,Denver
1.63,8147.68,Detroit
1.79,1369.82,Grand Rapids
1.55,92616.45,Great Lakes
1.81,3339.18,Harrisburg/Scranton
2.24,2843.96,Hartford/Springfield
1.26,12066.11,Houston
1.69,1798.92,Indianapolis
1.88,2003.04,Jacksonville
1.76,12433.98,Las Vegas
1.4,44090.53,Los Angeles
1.67,1764.81,Louisville
1.25,6631.49,Miami/Ft. Lauderdale
