average_price,4046,4225,4770,small_bags,large_bags,xlarge_bags,type,geography
1.35,4634.7,1647.92,0.0,3613.34,0.0,0.0,organic,Dallas/Ft. Worth
0.99,117454.09,429518.41,5553.6,67894.33,47661.52,4.05,conventional,Denver
1.42,3199.35,6916.72,7.56,1076.67,11279.77,0.0,organic,Denver
1.01,121634.27,117865.11,74062.76,46679.86,1060.51,8391.76,conventional,Detroit
1.7,361.76,5025.58,0.0,746.43,1312.66,0.0,organic,Detroit
0.95,1097.0,189348.6,22612.46,43899.46,1097.68,924.43,conventional,Grand Rapids
1.6,23.59,772.85,0.0,210.0,6.17,0.0,organic,Grand Rapids
1.02,467259.47,2059657.71,318102.38,412779.64,111072.91,13928.01,conventional,Great Lakes
1.54,3633.93,42963.06,0.0,9763.55,5254.56,0.0,organic,Great Lakes
1.05,32679.84,121020.54,1286.19,47583.64,1368.93,0.0,conventional,Harrisburg/Scranton
1.68,161.68,206.96,0.0,2528.08,0.0,0.0,organic,Harrisburg/Scranton
1.06,6387.6,267593.62,165.35,55401.31,2660.26,0.0,conventional,Hartford/Springfield
2.32,87.56,4364.01,0.0,349.53,0.0,0.0,organic,Hartford/Springfield
0.71,506426.58,436347.57,4378.92,90299.85,25537.7,0.0,conventional,Houston
1.22,7009.77,671.88,0.0,1256.67,0.0,0.0,organic,Houston
1.02,4007.41,118435.79,1201.5,20325.41,16160.04,0.0,conventional,Indianapolis
1.63,76.89,874.32,0.0,542.89,286.5,0.0,organic,Indianapolis
0.97,105203.79,19147.78,468.7,13653.15,15033.42,0.0,conventional,Jacksonville
1.81,803.33,47.67,6.98,523.33,0.0,0.0,organic,Jacksonville
0.8,134003.07,120628.37,4591.23,58126.59,512.09,0.0,conventional,Las Vegas
1.5,3730.8,2141.91,0.0,426.67,30.45,0.0,organic,Las Vegas
0.85,1837999.65,524430.47,64225.78,215571.8,36981.72,2950.53,conventional,Los Angeles
1.25,47721.51,1723.4,0.0,5050.63,0.0,0.0,organic,Los Angeles
0.92,1991.63,75090.16,283.88,7769.36,16027.95,0.0,conventional,Louisville
1.48,12.41,824.64,0.0,478.15,80.55,0.0,organic,Louisville
0.97,398670.03,54844.33,39.07,38505.18,48175.61,0.0,conventional,Miami/Ft. Lauderdale
1.82,1438.04,53.73,0.0,796.67,0.0,0.0,organic,Miami/Ft. Lauderdale
1.1,575245.44,1311502.53,181058.65,429166.89,80986.81,314.8,conventional,Midsouth
1.56,10049.66,25228.37,3672.89,17280.89,1833.54,0.0,organic,Midsouth
1.0,113865.83,11083.58,11699.03,19681.13,5611.51,221.67,conventional,Nashville
1.84,244.34,2700.02,76.21,838.34,107.09,0.0,organic,Nashville
0.94,148384.22,14085.72,218.63,54422.22,5640.72,0.0,conventional,New Orleans/Mobile
1.41,220.61,23.64,0.0,2360.0,0.0,0.0,organic,New Orleans/Mobile
1.09,23641.0,1127882.44,1871.07,178683.01,70812.68,0.0,conventional,New York
1.93,2357.18,12692.21,9.47,2269.38,0.0,0.0,organic,New York
1.09,126640.65,2860709.93,7580.38,669970.5,94381.16,0.0,conventional,Northeast
1.88,4476.73,22389.09,23.15,21379.79,11.7,0.0,organic,Northeast
1.05,4966.76,264351.96,14.68,52490.37,0.0,0.0,conventional,Northern New England
1.83,6.81,630.24,0.0,6664.25,0.0,0.0,organic,Northern New England
1.0,190743.27,38265.21,75.22,19933.7,32785.79,0.0,conventional,Orlando
1.8,1200.41,53.55,0.0,803.33,0.0,0.0,organic,Orlando
1.1,24190.91,294715.33,2121.45,72829.94,13817.93,0.0,conventional,Philadelphia
1.72,384.3,1597.97,11.42,1794.91,0.0,0.0,organic,Philadelphia
0.65,770635.37,178418.32,6509.41,92499.06,0.0,0.0,conventional,Phoenix/Tucson
1.12,14569.66,1868.59,0.0,830.0,28.6,0.0,organic,Phoenix/Tucson
1.52,3013.04,35456.88,1561.7,11264.8,3660.38,0.0,conventional,Pittsburgh
1.81,754.0,124.33,0.0,447.01,14.02,0.0,organic,Pittsburgh
1.01,1027842.3,466641.12,10476.89,177360.2,440.57,1034.22,conventional,Plains
1.69,3874.31,14945.34,32.45,13793.22,1545.05,0.0,organic,Plains
0.97,126485.75,377138.79,19781.57,61308.73,15251.02,0.0,conventional,Portland
1.28,17580.96,11685.08,3.15,613.33,3045.3,0.0,organic,Portland
1.2,53316.16,72178.46,39928.01,44040.64,11623.19,0.0,conventional,Raleigh/Greensboro
2.01,58.22,1493.9,772.21,993.94,78.73,0.0,organic,Raleigh/Greensboro
1.13,56293.75,80396.09,9762.41,31778.36,4467.36,0.0,conventional,Richmond/Norfolk
1.54,238.48,1678.83,372.55,1570.28,352.02,0.0,organic,Richmond/Norfolk
1.13,48285.15,37562.78,34.1,21582.97,1750.0,0.0,conventional,Roanoke
1.39,56.21,2760.82,0.0,1139.42,457.84,0.0,organic,Roanoke
1.05,110693.69,270107.61,9737.5,39600.08,0.0,0.0,conventional,Sacramento
1.33,3727.52,4327.52,0.0,1158.45,0.0,0.0,organic,Sacramento
0.94,244152.26,165299.33,15302.75,30884.29,5595.0,373.7,conventional,San Diego
1.23,17522.46,735.22,2.87,828.81,0.0,0.0,organic,San Diego
0.99,179507.69,637000.1,8803.79,82033.71,444.44,6.16,conventional,San Francisco
1.18,13175.57,9028.34,0.0,426.67,0.0,0.0,organic,San Francisco
0.97,165839.16,341836.86,15291.36,96695.27,14859.69,0.0,conventional,Seattle
1.49,6821.76,20720.77,1.23,452.73,5799.42,0.0,organic,Seattle
1.01,180977.06,46253.49,12923.45,52556.0,16314.22,0.0,conventional,South Carolina
1.86,355.79,754.78,439.19,1768.67,33.33,0.0,organic,South Carolina
0.77,2745009.1,1755142.21,73432.89,442217.85,128451.37,13.59,conventional,South Central
1.35,24139.72,8586.46,0.0,20622.28,146.45,0.0,organic,South Central
0.98,2296069.27,320373.63,18938.42,287820.14,280910.7,0.0,conventional,Southeast
1.75,9307.34,3844.81,615.28,13061.1,537.36,0.0,organic,Southeast
1.0,26607.29,44341.92,3660.64,9556.06,446.48,0.0,conventional,Spokane
1.3,723.29,4221.15,0.0,223.33,614.93,0.0,organic,Spokane
1.15,125713.89,34555.73,53.54,38400.99,11.11,0.0,conventional,St. Louis
1.8,1552.48,1521.26,0.0,523.33,0.0,0.0,organic,St. Louis
1.33,2506.61,20905.01,16.68,17715.21,0.0,0.0,conventional,Syracuse
1.72,0.0,102.71,0.0,490.68,0.0,0.0,organic,Syracuse
0.97,226346.7,37517.53,53.15,33447.51,42544.24,0.0,conventional,Tampa
1.7,748.62,30.19,0.0,1106.67,0.0,0.0,organic,Tampa
0.95,12357161.34,13624083.05,844093.32,3585321.58,894945.63,18672.81,conventional,Total U.S.
1.46,233286.13,216611.2,4370.99,115068.71,43573.12,0.0,organic,Total U.S.
0.89,2275446.87,2582300.65,97024.09,688813.01,150819.57,6.39,conventional,West
1.4,70313.71,72942.11,24.3,10023.72,34244.46,0.0,organic,West
0.75,426878.87,147958.43,15267.89,165202.22,2811.54,0.0,conventional,West Tex/New Mexico
1.64,1561.3,2958.17,0.0,1663.34,0.0,0.0,organic,West Tex/New Mexico
1.24,1002.85,31640.34,127.12,8036.04,388.73,0.0,conventional,Albany
1.77,39.0,305.12,0.0,838.44,0.0,0.0,organic,Albany
1.11,330411.24,18958.22,1135.18,21309.61,25728.47,0.0,conventional,Atlanta
1.84,1613.69,1207.72,0.0,865.0,57.41,0.0,organic,Atlanta
1.17,51460.64,420837.82,42526.96,151330.87,4075.65,0.0,conventional,Baltimore/Washington
1.22,12258.26,7094.53,490.24,6165.85,0.0,0.0,organic,Baltimore/Washington
1.18,38112.34,10997.54,3321.89,3295.11,1628.64,0.0,conventional,Boise
1.44,0.0,1923.4,0.0,170.0,285.28,0.0,organic,Boise
1.1,5548.11,320577.36,121.81,111192.88,331.73,0.0,conventional,Boston
1.94,12.82,956.07,0.0,1248.93,0.0,0.0,organic,Boston
1.54,1642.25,50985.2,79.61,53514.26,0.0,0.0,conventional,Buffalo/Rochester
1.59,0.0,143.51,0.0,1934.98,0.0,0.0,organic,Buffalo/Rochester
0.92,2889591.29,2485720.1,103573.42,510560.41,31874.03,3613.09,conventional,California
1.1,123712.51,25975.27,1.47,8421.43,0.0,0.0,organic,California
1.26,31586.35,38118.77,40801.77,38822.26,10613.53,0.0,conventional,Charlotte
2.29,155.92,969.82,832.7,431.78,0.0,0.0,organic,Charlotte
1.15,31239.94,558487.79,133848.57,74716.43,4539.25,42.96,conventional,Chicago
1.79,1426.75,10900.1,0.0,588.89,0.0,0.0,organic,Chicago
0.92,3612.86,153100.22,1203.53,17035.73,26345.43,94.5,conventional,Cincinnati/Dayton
1.32,209.52,10352.17,0.0,310.62,441.46,0.0,organic,Cincinnati/Dayton
0.97,64726.71,34844.49,7190.05,16400.27,2458.67,122.29,conventional,Columbus
1.68,349.17,3226.58,0.0,416.25,201.17,0.0,organic,Columbus
0.76,680572.11,348535.22,11900.83,67857.83,19801.95,25.1,conventional,Dallas/Ft. Worth
1.35,7136.34,1353.62,0.0,3636.67,0.0,0.0,organic,Dallas/Ft. Worth
1.09,110974.25,427723.2,5357.69,85793.27,36703.98,26.96,conventional,Denver
1.28,8855.89,15070.85,24.8,1699.95,5031.28,0.0,organic,Denver
1.08,108378.69,90104.73,76985.0,48639.13,620.82,7436.68,conventional,Detroit
1.87,417.73,5637.76,0.0,329.5,541.76,0.0,organic,Detroit
1.03,972.96,127984.25,13798.9,39193.44,2896.97,288.89,conventional,Grand Rapids
1.87,29.06,539.72,0.0,190.0,3.08,0.0,organic,Grand Rapids
1.1,416900.3,1818618.04,316856.73,412976.97,91214.54,11071.74,conventional,Great Lakes
1.69,4362.25,44552.46,0.0,7266.75,1880.19,0.0,organic,Great Lakes
1.26,34535.57,78778.96,582.3,63840.09,998.33,0.0,conventional,Harrisburg/Scranton
1.65,90.15,288.15,0.0,3504.58,0.0,0.0,organic,Harrisburg/Scranton
1.38,4365.27,143001.84,223.15,83319.8,1730.09,0.0,conventional,Hartford/Springfield
2.28,79.31,3190.97,0.0,193.33,0.0,0.0,organic,Hartford/Springfield
0.78,463272.52,441785.8,4094.47,126995.76,25923.1,0.0,conventional,Houston
1.26,6142.35,818.65,0.0,600.0,0.0,0.0,organic,Houston
1.25,3024.88,100509.97,1771.71,18466.87,14765.56,78.05,conventional,Indianapolis
1.83,95.46,921.79,0.0,357.75,35.31,0.0,organic,Indianapolis
1.2,57635.74,17025.48,529.41,14862.7,9703.84,0.0,conventional,Jacksonville
1.91,978.49,24.55,5.85,240.0,0.0,0.0,organic,Jacksonville
0.93,126092.05,101653.19,9591.88,36874.44,269.92,0.0,conventional,Las Vegas
1.54,4027.3,2083.92,0.0,33.33,0.0,0.0,organic,Las Vegas
0.85,1786326.65,617233.39,58892.91,222971.68,25111.74,3163.23,conventional,Los Angeles
1.08,52087.31,2063.44,0.0,6081.88,0.0,0.0,organic,Los Angeles
1.05,2299.74,53313.74,237.88,7964.88,11299.66,13.46,conventional,Louisville
1.79,0.0,1219.02,0.0,173.93,42.53,0.0,organic,Louisville
1.28,242922.42,36043.54,38.69,35069.71,28722.63,0.0,conventional,Miami/Ft. Lauderdale
1.85,1091.28,49.95,0.0,473.33,0.0,0.0,organic,Miami/Ft. Lauderdale
1.17,560119.16,1032606.49,191515.19,465764.93,85966.27,14.07,conventional,Midsouth
1.52,14570.74,30445.75,3170.11,16715.45,581.03,0.0,organic,Midsouth
1.07,103822.6,9098.86,11665.78,22478.92,2766.04,0.0,conventional,Nashville
1.92,204.75,2168.33,80.56,435.54,3.11,0.0,organic,Nashville
0.97,165505.1,10680.54,231.54,59593.91,3221.26,0.0,conventional,New Orleans/Mobile
1.44,233.3,15.81,0.0,1243.33,0.0,0.0,organic,New Orleans/Mobile
1.34,15880.8,714530.7,2315.72,221731.33,63767.28,0.0,conventional,New York
2.03,1744.44,10901.43,60.93,2111.17,0.0,0.0,organic,New York
1.28,97343.55,2070661.43,6915.47,796190.93,84913.39,0.0,conventional,Northeast
1.86,3611.57,20043.89,65.93,26332.17,26.25,0.0,organic,Northeast
1.06,4578.25,265252.09,22.9,44863.79,0.0,0.0,conventional,Northern New England
1.88,1.13,590.02,0.0,5894.15,0.0,0.0,organic,Northern New England
1.29,119336.02,39236.11,52.44,18762.45,24647.57,0.0,conventional,Orlando
1.92,1290.27,53.66,0.0,266.67,0.0,0.0,organic,Orlando
1.38,14323.61,198387.14,1715.41,88980.0,12578.06,0.0,conventional,Philadelphia
1.63,428.55,1809.47,4.83,4465.66,6.67,0.0,organic,Philadelphia
0.61,849580.75,182629.59,12237.43,66305.28,0.0,0.0,conventional,Phoenix/Tucson
1.36,11523.29,1632.63,0.0,876.68,2.58,0.0,organic,Phoenix/Tucson
1.54,1491.88,33759.12,1325.17,12165.94,5902.21,0.0,conventional,Pittsburgh
1.82,767.08,328.49,0.0,564.2,3.48,0.0,organic,Pittsburgh
1.09,737363.86,448207.79,10009.45,205299.64,954.59,1006.5,conventional,Plains
1.68,6636.08,15284.43,4.62,13774.1,1918.72,0.0,organic,Plains
1.05,121596.43,292968.56,22743.24,64831.61,8012.83,0.0,conventional,Portland
1.22,18893.87,19745.21,0.0,480.0,3997.36,0.0,organic,Portland
1.24,43986.78,54185.12,41272.69,50818.2,15497.88,0.0,conventional,Raleigh/Greensboro
1.98,31.58,1957.67,672.88,1195.75,4.84,0.0,organic,Raleigh/Greensboro
1.15,71743.11,66849.97,10952.11,36160.54,8754.86,0.0,conventional,Richmond/Norfolk
1.66,143.78,2060.44,270.92,412.81,26.4,0.0,organic,Richmond/Norfolk
1.16,45706.36,37629.54,57.82,26555.99,3286.11,0.0,conventional,Roanoke
1.47,82.94,4065.47,0.0,806.48,173.17,0.0,organic,Roanoke
1.09,109368.41,271300.08,5094.23,43722.89,6.67,0.0,conventional,Sacramento
1.27,4243.14,3033.84,0.0,321.28,0.0,0.0,organic,Sacramento
0.82,303369.02,192913.11,12900.65,31807.96,3271.85,404.59,conventional,San Diego
1.05,18294.44,767.68,1.44,1025.96,0.0,0.0,organic,San Diego
1.03,155455.32,670522.75,4107.26,85706.54,658.89,0.0,conventional,San Francisco
1.12,17907.49,11586.46,0.0,182.83,0.0,0.0,organic,San Francisco
1.06,144349.43,278069.43,18076.48,81221.3,5632.65,1.53,conventional,Seattle
1.46,8691.73,33361.78,13.48,223.33,4396.69,0.0,organic,Seattle
1.1,162428.39,39713.75,14197.05,44864.96,18502.58,0.0,conventional,South Carolina
2.06,474.97,793.53,357.87,674.61,3.32,0.0,organic,South Carolina
0.8,2973367.52,1717171.24,88373.78,533599.2,97164.07,50.21,conventional,South Central
1.39,27767.97,8596.61,0.0,16873.34,90.61,0.0,organic,South Central
1.18,1667012.92,269027.02,21918.53,260164.0,215173.14,0.0,conventional,Southeast
1.83,10166.46,4678.19,524.42,8164.48,157.1,0.0,organic,Southeast
1.07,21973.57,35996.7,4131.75,6899.1,1695.95,0.0,conventional,Spokane
1.38,1159.37,3192.62,1.83,140.0,287.05,0.0,organic,Spokane
1.29,79292.59,41050.38,62.72,44509.7,2.22,0.0,conventional,St. Louis
1.84,1908.7,1590.15,0.0,263.33,0.0,0.0,organic,St. Louis
1.45,984.29,21576.29,14.93,19441.98,0.0,0.0,conventional,Syracuse
1.66,1.24,195.51,0.0,565.4,0.0,0.0,organic,Syracuse
1.24,142237.71,36017.93,56.25,19605.39,37313.8,0.0,conventional,Tampa
1.84,814.13,44.49,0.0,400.0,0.0,0.0,organic,Tampa
1.01,11544810.53,12134773.38,866574.66,3783261.16,718333.87,15789.15,conventional,Total U.S.
1.42,270966.74,260971.6,3830.42,106844.49,26915.63,0.0,organic,Total U.S.
0.95,2203111.92,2292761.26,127412.09,598705.08,111073.82,33.54,conventional,West
1.39,80139.16,111395.01,63.88,9296.76,22261.74,0.0,organic,West
0.92,347125.63,129717.42,27944.07,78503.46,1606.41,0.0,conventional,West Tex/New Mexico
1.69,1822.28,2377.54,0.0,2656.66,5.25,0.0,organic,West Tex/New Mexico
1.17,914.14,31540.32,135.77,11651.09,269.96,0.0,conventional,Albany
1.93,8.02,178.78,0.0,931.67,0.0,0.0,organic,Albany
1.11,372236.92,18701.9,511.69,16782.71,23257.77,0.0,conventional,Atlanta
1.86,2138.51,989.4,0.0,1019.34,146.76,0.0,organic,Atlanta
1.23,49947.16,393359.6,40576.08,169390.88,4467.62,0.0,conventional,Baltimore/Washington
1.41,8148.89,4725.43,659.56,461.75,61.82,0.0,organic,Baltimore/Washington
1.08,50354.95,6342.37,2257.23,1119.18,2796.76,0.0,conventional,Boise
1.44,8.83,2513.36,0.0,143.33,308.42,0.0,organic,Boise
1.23,4383.76,287778.52,132.53,108668.74,367.78,0.0,conventional,Boston
2.0,4.22,834.34,0.0,1370.78,0.0,0.0,organic,Boston
1.52,1625.26,61859.85,133.29,43419.67,2.22,0.0,conventional,Buffalo/Rochester
1.64,91.85,137.49,0.0,1197.53,0.0,0.0,organic,Buffalo/Rochester
1.02,2780859.66,2108450.36,121614.31,520299.26,36501.18,3190.49,conventional,California
1.24,123138.29,58616.16,0.0,13453.15,0.0,0.0,organic,California
1.25,26462.87,40475.81,38677.39,33996.73,13058.35,0.0,conventional,Charlotte
2.15,346.76,744.32,766.41,840.32,0.0,0.0,organic,Charlotte
1.14,24917.77,533717.99,140239.95,95516.44,3311.71,37.57,conventional,Chicago
1.81,1154.81,10830.61,0.0,514.45,0.0,0.0,organic,Chicago
0.93,3333.29,128858.15,1086.61,24024.17,18264.75,114.12,conventional,Cincinnati/Dayton
1.37,282.08,9374.23,0.0,351.87,43.22,0.0,organic,Cincinnati/Dayton
1.02,55532.76,26458.99,7040.95,24386.64,2962.41,68.46,conventional,Columbus
1.84,279.22,2959.75,0.0,213.33,575.15,0.0,organic,Columbus
0.76,627090.61,374230.89,15550.56,62375.69,12416.71,12.83,conventional,Dallas/Ft. Worth
1.28,7556.77,871.27,0.0,4206.67,0.0,0.0,organic,Dallas/Ft. Worth
0.99,151976.7,500683.5,4225.31,77528.06,73764.68,16.16,conventional,Denver
1.1,5475.13,32538.95,42.01,992.64,3186.18,0.0,organic,Denver
1.1,113616.86,45446.17,37740.18,92319.38,1066.01,1599.83,conventional,Detroit
1.9,376.08,6430.19,0.0,446.67,403.78,0.0,organic,Detroit
1.07,970.13,78433.37,6411.99,60381.95,3727.81,276.14,conventional,Grand Rapids
1.88,20.71,488.77,0.0,196.67,0.0,0.0,organic,Grand Rapids
1.08,401683.43,1650327.26,257105.89,600155.95,93434.54,3499.95,conventional,Great Lakes
1.73,3941.59,43653.15,0.0,6511.7,3540.46,0.0,organic,Great Lakes
1.24,30928.18,85410.46,535.87,64180.88,1549.29,0.0,conventional,Harrisburg/Scranton
1.94,50.54,127.76,8.74,1168.46,0.0,0.0,organic,Harrisburg/Scranton
1.39,3347.41,160683.8,286.52,62671.58,2226.74,0.0,conventional,Hartford/Springfield
2.35,39.56,2233.79,12.07,266.67,0.0,0.0,organic,Hartford/Springfield
0.77,458532.19,429687.47,9353.74,107320.39,12960.37,0.0,conventional,Houston
1.2,8538.96,690.68,0.0,750.0,0.0,0.0,organic,Houston
1.14,2910.77,103890.9,2048.78,22405.47,17913.92,149.98,conventional,Indianapolis
1.96,45.28,925.94,0.0,105.03,7.55,0.0,organic,Indianapolis
1.27,57479.2,16442.71,513.69,14684.19,10376.37,0.0,conventional,Jacksonville
1.82,846.65,55.27,1.18,500.0,0.0,0.0,organic,Jacksonville
1.06,100191.96,94930.69,4887.89,32897.59,277.96,0.0,conventional,Las Vegas
1.63,3449.94,1769.04,0.0,813.33,0.0,0.0,organic,Las Vegas
0.89,1925013.31,526106.8,59364.23,260857.96,26671.18,2666.02,conventional,Los Angeles
1.29,33738.87,1368.91,0.0,8541.34,0.0,0.0,organic,Los Angeles
1.06,2250.1,63826.82,426.73,10228.66,8804.67,43.17,conventional,Louisville
1.79,5.19,676.38,0.0,420.0,5.29,0.0,organic,Louisville
1.3,285204.29,42798.99,42.64,41312.0,35780.27,0.0,conventional,Miami/Ft. Lauderdale
1.87,1054.78,17.92,0.0,386.67,0.0,0.0,organic,Miami/Ft. Lauderdale
1.19,530333.83,1045424.87,186027.52,478770.7,90214.44,57.84,conventional,Midsouth
1.65,11415.28,25306.56,3345.08,10971.43,1520.75,0.0,organic,Midsouth
1.08,97216.47,8423.57,12187.72,23520.54,2116.34,0.0,conventional,Nashville
1.81,188.44,1951.63,86.02,773.33,119.16,0.0,organic,Nashville
1.03,179991.12,23263.42,213.64,61302.5,2895.44,0.0,conventional,New Orleans/Mobile
0.98,256.53,2.64,0.0,4480.0,0.0,0.0,organic,New Orleans/Mobile
1.37,18945.56,749309.2,3039.37,211934.06,61052.37,0.0,conventional,New York
2.08,692.88,7146.78,37.93,1327.19,0.0,0.0,organic,New York
1.32,91803.09,2098784.32,7215.59,784229.51,84757.11,0.0,conventional,Northeast
1.94,1461.14,13317.36,73.5,18457.1,1995.05,0.0,organic,Northeast
1.12,3012.79,241380.95,38.05,64770.92,0.0,0.0,conventional,Northern New England
1.88,0.0,569.28,0.0,7049.63,0.0,0.0,organic,Northern New England
1.33,112722.12,34703.28,83.8,18914.84,24654.33,0.0,conventional,Orlando
1.79,1237.16,31.27,0.0,883.33,0.0,0.0,organic,Orlando
1.4,15116.27,209523.15,1469.44,93250.96,12135.59,0.0,conventional,Philadelphia
1.93,258.85,731.44,19.58,689.13,0.0,0.0,organic,Philadelphia
0.67,811662.62,200514.36,5643.07,70788.61,0.0,0.0,conventional,Phoenix/Tucson
1.36,10248.57,1529.97,0.0,473.33,0.0,0.0,organic,Phoenix/Tucson
1.47,2147.08,36730.4,1075.26,12321.55,7037.78,0.0,conventional,Pittsburgh
1.55,312.68,709.27,0.0,257.86,2168.61,0.0,organic,Pittsburgh
1.02,966515.75,485150.34,14504.7,206579.02,1074.3,1121.44,conventional,Plains
1.8,6340.18,13476.2,34.56,8577.16,1241.43,0.0,organic,Plains
1.11,155745.95,220991.54,14692.73,34402.17,13785.22,0.0,conventional,Portland
1.24,11894.56,30078.32,4.7,303.33,9623.53,0.0,organic,Portland
1.22,48613.54,55881.05,39543.93,46298.95,14167.52,0.0,conventional,Raleigh/Greensboro
1.97,78.13,1775.25,628.28,925.39,89.22,0.0,organic,Raleigh/Greensboro
1.18,54459.4,66963.59,9958.28,36798.65,10858.47,0.0,conventional,Richmond/Norfolk
1.62,120.23,2152.16,363.06,583.33,261.88,0.0,organic,Richmond/Norfolk
1.18,44676.56,37854.42,117.98,25952.51,3504.58,0.0,conventional,Roanoke
1.48,109.68,4464.75,0.0,626.3,420.59,0.0,organic,Roanoke
1.22,83097.77,238956.51,5672.46,39320.62,0.0,0.0,conventional,Sacramento
1.13,15363.18,20986.36,0.0,883.8,0.0,0.0,organic,Sacramento
1.01,250311.74,163944.2,14125.01,27844.81,4411.36,426.61,conventional,San Diego
1.29,12300.47,580.15,0.0,1593.11,0.0,0.0,organic,San Diego
1.22,107566.95,554501.21,12868.74,78241.87,515.56,52.18,conventional,San Francisco
1.27,26336.41,14789.4,0.0,356.67,0.0,0.0,organic,San Francisco
1.2,160898.14,223145.82,11177.67,67519.53,720.65,10.71,conventional,Seattle
1.45,6222.73,30224.67,7.34,216.67,7944.82,0.0,organic,Seattle
1.15,160256.58,44019.64,14954.1,35311.93,21663.7,0.0,conventional,South Carolina
1.93,686.69,656.63,310.28,1346.0,24.72,0.0,organic,South Carolina
0.79,2839359.92,1782045.18,146481.44,497106.16,57607.18,25.69,conventional,South Central
1.27,32913.28,6344.03,0.0,25780.0,205.46,0.0,organic,South Central
1.19,1815847.03,273695.84,22004.31,258541.9,225694.58,0.0,conventional,Southeast
1.79,10781.05,3489.26,498.66,10657.51,313.52,0.0,organic,Southeast
1.18,28457.99,29719.57,2933.27,7986.02,503.29,0.0,conventional,Spokane
1.44,582.64,3132.56,0.0,146.67,501.26,0.0,organic,Spokane
1.28,78724.96,50701.59,145.35,41014.51,4.44,0.0,conventional,St. Louis
1.92,2410.28,213.12,0.0,300.0,0.0,0.0,organic,St. Louis
1.4,789.84,24755.46,27.89,14818.36,0.0,0.0,conventional,Syracuse
1.84,0.0,151.46,0.0,476.34,0.0,0.0,organic,Syracuse
1.27,132142.6,33674.07,37.38,25006.34,38060.23,0.0,conventional,Tampa
1.73,810.58,23.95,0.0,916.67,0.0,0.0,organic,Tampa
1.03,11858139.34,11701947.8,831301.9,3873041.26,771093.2,7935.35,conventional,Total U.S.
1.42,254319.58,311811.01,4020.85,101850.23,41118.33,0.0,organic,Total U.S.
0.96,2431736.63,2258069.63,76348.13,527358.78,181809.88,39.96,conventional,West
1.33,64328.76,147608.3,69.05,7442.17,32301.66,0.0,organic,West
0.8,516446.41,128438.87,12473.14,71564.22,873.08,0.0,conventional,West Tex/New Mexico
1.71,1793.64,2078.72,0.0,1620.0,15.84,0.0,organic,West Tex/New Mexico
1.06,941.38,33196.16,164.14,10103.35,742.47,0.0,conventional,Albany
1.89,14.87,148.72,0.0,952.3,0.0,0.0,organic,Albany
1.1,393408.17,18718.27,594.25,13176.39,23435.77,0.0,conventional,Atlanta
1.87,1578.59,735.23,0.0,533.33,200.23,0.0,organic,Atlanta
1.2,49696.14,386398.73,39488.95,209761.81,7588.83,0.0,conventional,Baltimore/Washington
1.41,8097.26,5023.48,528.36,1738.64,0.0,0.0,organic,Baltimore/Washington
1.03,51922.06,7555.95,2061.16,2009.53,2520.51,0.0,conventional,Boise
1.82,1.26,858.4,0.0,133.33,181.54,0.0,organic,Boise
1.17,4730.77,288094.65,45.98,115538.05,934.11,0.0,conventional,Boston
2.01,3.14,760.39,0.0,1184.75,0.0,0.0,organic,Boston
1.5,1321.19,54007.48,74.53,57909.74,740.0,0.0,conventional,Buffalo/Rochester
